Region-County-District-Type-School (RCDTS) ,District/Parent Entity,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,year,state
041011220222014,Harlem UD 122,Olson Park Elem School,290.0,9.0,0.0,3.0,0.9689655172413794,281.0,0.0,0.0,0.0,0.0,9.0,281.0,9.0,0.9689655172413794,2018,IL
041011220222015,Harlem UD 122,Donald C Parker Early Educ Center,562.0,31.0,4.0,30.0,0.9377224199288257,525.0,6.0,0.0,0.0,0.0,31.0,525.0,37.0,0.9341637010676157,2018,IL
041011310041002,Kinnikinnick CCSD 131,Roscoe Middle School,601.0,0.0,0.0,0.0,1.0,596.0,4.0,1.0,0.0,0.0,0.0,596.0,5.0,0.9916805324459235,2018,IL
041011310042001,Kinnikinnick CCSD 131,Kinnikinnick School,371.0,0.0,0.0,0.0,1.0,365.0,6.0,0.0,0.0,0.0,0.0,365.0,6.0,0.9838274932614556,2018,IL
041011310042002,Kinnikinnick CCSD 131,Ledgewood Elem School,399.0,0.0,0.0,0.0,1.0,385.0,13.0,0.0,1.0,0.0,0.0,385.0,14.0,0.9649122807017544,2018,IL
041011310042003,Kinnikinnick CCSD 131,Stone Creek School,354.0,0.0,0.0,0.0,1.0,342.0,11.0,1.0,0.0,0.0,0.0,342.0,12.0,0.9661016949152542,2018,IL
041011330041001,Prairie Hill CCSD 133,Willowbrook Middle School,301.0,0.0,0.0,0.0,1.0,291.0,9.0,1.0,0.0,0.0,0.0,291.0,10.0,0.9667774086378738,2018,IL
041011330042001,Prairie Hill CCSD 133,Prairie Hill Elem School,420.0,0.0,0.0,0.0,1.0,411.0,7.0,1.0,1.0,0.0,0.0,411.0,9.0,0.9785714285714285,2018,IL
041011340042001,Shirland CCSD 134,Shirland C C School,111.0,0.0,0.0,0.0,1.0,111.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,1.0,2018,IL
041011400041001,Rockton SD 140,Stephen Mack Middle School,550.0,1.0,0.0,1.0,0.9981818181818182,541.0,8.0,1.0,0.0,0.0,0.0,541.0,9.0,0.9836363636363636,2018,IL
041011400042001,Rockton SD 140,Rockton Elem School,538.0,1.0,0.0,1.0,0.9981412639405205,525.0,10.0,1.0,2.0,0.0,0.0,525.0,13.0,0.9758364312267658,2018,IL
041011400042002,Rockton SD 140,Whitman Post Elem School,477.0,0.0,0.0,0.0,1.0,470.0,6.0,1.0,0.0,0.0,0.0,470.0,7.0,0.9853249475890985,2018,IL
041012050250001,Rockford SD 205,Auburn High School,1847.0,4.0,0.0,0.0,0.9978343259339469,1834.0,7.0,4.0,0.0,1.0,1.0,1834.0,13.0,0.9929615592853276,2018,IL
041012050250002,Rockford SD 205,Rockford East High School,1741.0,8.0,0.0,1.0,0.9954049396898335,1728.0,4.0,0.0,0.0,1.0,8.0,1728.0,13.0,0.9925330269959793,2018,IL
041012050250003,Rockford SD 205,Guilford High School,1826.0,8.0,15.0,2.0,0.9874041621029573,1811.0,11.0,0.0,0.0,1.0,3.0,1811.0,15.0,0.9917853231106243,2018,IL
041012050250004,Rockford SD 205,Jefferson High School,1823.0,2.0,18.0,4.0,0.9890290729566649,1815.0,7.0,0.0,0.0,1.0,0.0,1815.0,8.0,0.9956116291826659,2018,IL
041012050251001,Rockford SD 205,West Middle School,953.0,1.0,0.0,0.0,0.9989506820566632,949.0,3.0,0.0,0.0,1.0,0.0,949.0,4.0,0.9958027282266527,2018,IL
041012050251006,Rockford SD 205,Eisenhower Middle School,987.0,0.0,0.0,0.0,1.0,959.0,8.0,0.0,2.0,18.0,0.0,959.0,28.0,0.9716312056737588,2018,IL
041012050251008,Rockford SD 205,Bernard W Flinn Middle School,889.0,4.0,0.0,1.0,0.9955005624296963,881.0,4.0,0.0,0.0,0.0,4.0,881.0,8.0,0.9910011248593926,2018,IL
041012050251009,Rockford SD 205,Abraham Lincoln Middle School,676.0,4.0,0.0,0.0,0.9940828402366864,676.0,0.0,0.0,0.0,0.0,0.0,676.0,0.0,1.0,2018,IL
041012050251010,Rockford SD 205,Kennedy Middle School,514.0,9.0,0.0,0.0,0.9824902723735408,508.0,6.0,0.0,0.0,0.0,0.0,508.0,6.0,0.9883268482490273,2018,IL
041012050252014,Rockford SD 205,Barbour Two-Way Lang Immersion,759.0,0.0,0.0,0.0,1.0,758.0,1.0,0.0,0.0,0.0,0.0,758.0,1.0,0.9986824769433466,2018,IL
041012050252016,Rockford SD 205,Beyer Elem School,314.0,0.0,0.0,0.0,1.0,283.0,1.0,0.0,0.0,30.0,0.0,283.0,31.0,0.9012738853503185,2018,IL
041012050252017,Rockford SD 205,C Henry Bloom Elem School,404.0,0.0,0.0,0.0,1.0,401.0,3.0,0.0,0.0,0.0,0.0,401.0,3.0,0.9925742574257426,2018,IL
041012050252018,Rockford SD 205,Brookview Elem School,559.0,4.0,0.0,1.0,0.9928443649373881,544.0,9.0,2.0,0.0,0.0,4.0,544.0,15.0,0.9731663685152058,2018,IL
041012050252019,Rockford SD 205,Clifford P Carlson Elem School,370.0,6.0,0.0,1.0,0.9837837837837838,363.0,0.0,1.0,0.0,3.0,3.0,363.0,7.0,0.981081081081081,2018,IL
04101205025201C,Rockford SD 205,Legacy Acad of Excellence Charter,314.0,3.0,0.0,2.0,0.9904458598726115,309.0,4.0,0.0,0.0,1.0,0.0,309.0,5.0,0.9840764331210191,2018,IL
041012050252022,Rockford SD 205,Conklin Elem School,311.0,2.0,3.0,2.0,0.9839228295819936,295.0,3.0,0.0,7.0,4.0,2.0,295.0,16.0,0.9485530546623794,2018,IL
041012050252024,Rockford SD 205,Ellis Elementary School,446.0,5.0,4.0,0.0,0.9798206278026906,437.0,0.0,0.0,0.0,4.0,5.0,437.0,9.0,0.9798206278026906,2018,IL
041012050252027,Rockford SD 205,Arthur Froberg Elem School,426.0,0.0,4.0,3.0,0.9906103286384976,421.0,3.0,2.0,0.0,0.0,0.0,421.0,5.0,0.9882629107981221,2018,IL
041012050252029,Rockford SD 205,Gregory Elem School,344.0,1.0,0.0,1.0,0.997093023255814,339.0,1.0,0.0,0.0,3.0,1.0,339.0,5.0,0.9854651162790697,2018,IL
04101205025202C,Rockford SD 205,Galapagos Rockford Charter Sch,309.0,4.0,0.0,0.0,0.9870550161812298,293.0,2.0,0.0,7.0,3.0,4.0,293.0,16.0,0.948220064724919,2018,IL
041012050252034,Rockford SD 205,Haskell Elementary School,297.0,1.0,1.0,0.0,0.9932659932659933,297.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,1.0,2018,IL
041012050252037,Rockford SD 205,Swan Hillman Elem School,580.0,1.0,0.0,1.0,0.9982758620689656,577.0,0.0,0.0,0.0,2.0,1.0,577.0,3.0,0.9948275862068966,2018,IL
041012050252039,Rockford SD 205,Maud E Johnson Elem School,447.0,6.0,0.0,2.0,0.9865771812080537,436.0,5.0,0.0,0.0,0.0,6.0,436.0,11.0,0.9753914988814317,2018,IL
04101205025203C,Rockford SD 205,Jackson Charter School,367.0,6.0,0.0,0.0,0.9836512261580381,360.0,1.0,0.0,0.0,0.0,6.0,360.0,7.0,0.9809264305177112,2018,IL
041012050252040,Rockford SD 205,Kishwaukee Elem School,252.0,5.0,0.0,1.0,0.9801587301587301,247.0,0.0,0.0,0.0,2.0,3.0,247.0,5.0,0.9801587301587301,2018,IL
041012050252041,Rockford SD 205,Julia Lathrop Elem School,385.0,1.0,0.0,1.0,0.9974025974025974,385.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,1.0,2018,IL
041012050252043,Rockford SD 205,McIntosh Elementary,357.0,4.0,1.0,4.0,0.9859943977591037,349.0,2.0,0.0,0.0,2.0,4.0,349.0,8.0,0.9775910364145658,2018,IL
041012050252047,Rockford SD 205,John Nelson Elem School,381.0,2.0,0.0,2.0,0.994750656167979,372.0,2.0,0.0,1.0,4.0,2.0,372.0,9.0,0.9763779527559056,2018,IL
