county,num_schools,num_students,full_immunization_count,full_immunization_perc,temp_medical_exemp_count,temp_medical_exemp_perc,perm_medical_exemp_count,perm_medical_exemp_perc,religious_exemp_count,religious_exemp_perc,30_day_exemp_count,30_day_exemp_perc,year,state
FAU Lab Sch (St Lucie),1,179,170,95.0,0,0.0,0,0.0,9,5.0,0,0.0,2019,FL
FAU Lab Sch (Palm Bch),1,80,76,95.0,0,0.0,0,0.0,4,5.0,0,0.0,2019,FL
FSU Lab Sch (Leon),1,168,168,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
FAMU Lab Sch (Leon),1,64,63,98.4,0,0.0,0,0.0,1,1.6,0,0.0,2019,FL
UF Lab Sch (Alachua),1,108,103,95.4,2,1.9,0,0.0,3,2.8,0,0.0,2019,FL
Statewide,"1,432","220,356","212,235",96.3,"3,121",1.4,870,0.4,"3,876",1.8,235,0.1,2019,FL
Alachua,22,313,295,94.2,3,1.0,0,0.0,15,4.8,0,0.0,2019,FL
Baker,3,11,9,81.8,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Bay,9,90,84,93.3,0,0.0,0,0.0,2,2.2,0,0.0,2019,FL
Bradford,5,43,38,88.4,0,0.0,0,0.0,2,4.7,0,0.0,2019,FL
Brevard,43,628,606,96.5,0,0.0,3,0.5,19,3.0,0,0.0,2019,FL
Broward,120,"2,880","2,763",95.9,21,0.7,5,0.2,68,2.4,0,0.0,2019,FL
Calhoun,N/A,N/A,N/A,NA,N/A,NA,N/A,NA,N/A,NA,N/A,NA,2019,FL
Charlotte,10,126,104,82.5,0,0.0,0,0.0,9,7.1,0,0.0,2019,FL
Citrus,6,102,96,94.1,0,0.0,0,0.0,6,5.9,0,0.0,2019,FL
Clay,19,193,187,96.9,0,0.0,0,0.0,5,2.6,0,0.0,2019,FL
Collier,24,351,298,84.9,3,0.9,2,0.6,43,12.3,0,0.0,2019,FL
Columbia,10,100,96,96.0,0,0.0,0,0.0,4,4.0,0,0.0,2019,FL
Dade,238,"4,598","4,405",95.8,35,0.8,5,0.1,60,1.3,0,0.0,2019,FL
DeSoto,1,9,9,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Dixie,2,9,9,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Duval,93,"1,997","1,900",95.1,13,0.7,6,0.3,48,2.4,0,0.0,2019,FL
Escambia,25,581,518,89.2,3,0.5,1,0.2,28,4.8,0,0.0,2019,FL
Flagler,6,96,92,95.8,0,0.0,0,0.0,4,4.2,0,0.0,2019,FL
Franklin,1,4,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Gadsden,3,55,55,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Gilchrist,3,31,31,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Glades,1,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Gulf,2,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Hamilton,4,20,20,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Hardee,1,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Hendry,3,52,51,98.1,0,0.0,0,0.0,1,1.9,0,0.0,2019,FL
Hernando,19,154,137,89.0,2,1.3,0,0.0,13,8.4,0,0.0,2019,FL
Highlands,8,108,101,93.5,1,0.9,0,0.0,6,5.6,0,0.0,2019,FL
Hillsborough,87,"1,904","1,818",95.5,7,0.4,2,0.1,42,2.2,4,0.2,2019,FL
Holmes,N/A,N/A,N/A,NA,N/A,NA,N/A,NA,N/A,NA,N/A,NA,2019,FL
Indian River,8,127,116,91.3,0,0.0,0,0.0,9,7.1,0,0.0,2019,FL
Jackson,2,14,12,85.7,0,0.0,0,0.0,2,14.3,0,0.0,2019,FL
Jefferson,3,27,26,96.3,1,3.7,0,0.0,0,0.0,0,0.0,2019,FL
Lafayette,1,8,8,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Lake,28,494,451,91.3,6,1.2,0,0.0,19,3.8,0,0.0,2019,FL
Lee,23,487,445,91.4,1,0.2,1,0.2,26,5.3,0,0.0,2019,FL
Leon,13,214,200,93.5,1,0.5,0,0.0,10,4.7,0,0.0,2019,FL
Levy,3,24,22,91.7,0,0.0,0,0.0,2,8.3,0,0.0,2019,FL
Liberty,N/A,N/A,N/A,NA,N/A,NA,N/A,NA,N/A,NA,N/A,NA,2019,FL
Madison,2,47,46,97.9,0,0.0,1,2.1,0,0.0,0,0.0,2019,FL
Manatee,29,290,269,92.8,0,0.0,0,0.0,9,3.1,0,0.0,2019,FL
Marion,24,392,377,96.2,5,1.3,0,0.0,7,1.8,0,0.0,2019,FL
Martin,12,149,136,91.3,0,0.0,0,0.0,13,8.7,0,0.0,2019,FL
Monroe,4,27,25,92.6,1,3.7,0,0.0,1,3.7,0,0.0,2019,FL
Nassau,5,85,76,89.4,1,1.2,0,0.0,8,9.4,0,0.0,2019,FL
Okaloosa,22,123,115,93.5,0,0.0,7,5.7,0,0.0,0,0.0,2019,FL
Okeechobee,4,32,29,90.6,0,0.0,0,0.0,3,9.4,0,0.0,2019,FL
Orange,123,"2,243","2,076",92.6,14,0.6,13,0.6,84,3.7,1,0.0,2019,FL
Osceola,44,586,561,95.7,4,0.7,0,0.0,15,2.6,0,0.0,2019,FL
Palm Beach,84,"1,958","1,859",94.9,4,0.2,4,0.2,81,4.1,0,0.0,2019,FL
Pasco,32,335,298,89.0,2,0.6,2,0.6,22,6.6,0,0.0,2019,FL
Pinellas,79,"1,410","1,321",93.7,4,0.3,6,0.4,79,5.6,0,0.0,2019,FL
Polk,40,797,773,97.0,1,0.1,4,0.5,19,2.4,0,0.0,2019,FL
Putnam,7,59,54,91.5,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Santa Rosa,11,108,102,94.4,1,0.9,0,0.0,5,4.6,0,0.0,2019,FL
Sarasota,28,332,295,88.9,3,0.9,1,0.3,30,9.0,0,0.0,2019,FL
Seminole,34,663,606,91.4,1,0.2,3,0.5,38,5.7,0,0.0,2019,FL
St Johns,15,209,191,91.4,2,1.0,1,0.5,9,4.3,0,0.0,2019,FL
St Lucie,22,331,315,95.2,1,0.3,1,0.3,14,4.2,0,0.0,2019,FL
Sumter,3,6,5,83.3,0,0.0,0,0.0,1,16.7,0,0.0,2019,FL
Suwannee,6,41,36,87.8,1,2.4,0,0.0,2,4.9,0,0.0,2019,FL
Taylor,2,24,24,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2019,FL
Union,N/A,N/A,N/A,NA,N/A,NA,N/A,NA,N/A,NA,N/A,NA,2019,FL
Volusia,63,553,479,86.6,6,1.1,3,0.5,29,5.2,0,0.0,2019,FL
Wakulla,2,16,15,93.8,0,0.0,0,0.0,1,6.3,0,0.0,2019,FL
Walton,13,38,32,84.2,0,0.0,0,0.0,6,15.8,0,0.0,2019,FL
Washington,2,27,25,92.6,1,3.7,0,0.0,1,3.7,0,0.0,2019,FL
Statewide,"1,561","26,736","25,151",94.1,149,0.6,71,0.3,920,3.4,5,0.0,2019,FL
