,unnamed:_0,total_agriculture,total_construction,total_manufacturing,total_wholesale_trade,total_retail_trade,transportation_warehousing_utilities,total_information,total_finance_and_real_estate,total_scientific_administrative_and_waste_management_services,total_educational_healthcare_and_social_assistance,total_arts_and_entertainment,total_other_services,total_public_administration,total_management_business_science_and_arts_occupations,total_service_occupations,total_sales_and_office_occupations,total_natural_resources_and_maintenance_occupations,"total_production,_transportation,_and_material_moving_occupations",population_of_one_race_total,white,black_or_african_american,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_other_pacific_islander,population_of_one_race_some_other_race,median_age:_total,ed_total,ed_no_schooling_completed,ed_nursery_school,ed_kindergarten,ed_1st_grade,ed_2nd_grade,ed_3rd_grade,ed_4th_grade,ed_5th_grade,ed_6th_grade,ed_7th_grade,ed_8th_grade,ed_9th_grade,e_10th_grade,ed_11th_grade,ed_12th_grade_no_diploma,median_income,unemployed_pop_16_years_and_over,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip
432,"Jeff Davis County, Texas: Summary level: 050, state:48> county:243",184,55,13,0,74,16,0,42,25,268,82,4,0,263,150,120,202,28,2224,2167,23,0,0,0,34,55.8,1698,31,0,0,0,0,0,0,0,0,0,76,74,57,85,36,27405,34,797,70,129,170,2177,0,2241,48,243
433,"Jefferson County, Texas: Summary level: 050, state:48> county:245",1424,13497,12158,2534,12954,5516,862,4046,9154,23998,9152,5846,4951,30558,20172,22891,15062,17409,250032,148331,85682,961,9565,130,5363,36.2,169034,2864,23,17,122,405,741,439,769,2833,1282,2917,3587,3598,4703,2403,27672,5467,111559,7234,19119,21089,240481,486,254340,48,245
434,"Jim Hogg County, Texas: Summary level: 050, state:48> county:247",296,187,63,19,60,136,0,43,61,641,167,120,147,385,610,199,295,451,5194,5165,17,0,0,0,12,32.4,3037,158,0,0,0,17,31,16,44,30,24,58,140,161,50,45,19364,231,2171,254,428,436,5200,0,5231,48,247
435,"Jim Wells County, Texas: Summary level: 050, state:48> county:249",2505,1455,990,132,2137,833,22,456,1148,3817,1080,702,739,4311,3006,3438,2580,2681,40621,39004,271,201,216,54,875,34.6,25700,534,0,20,7,103,259,165,236,455,439,413,1056,676,1359,740,21554,881,16897,904,3420,3059,40584,27,40972,48,249
436,"Johnson County, Texas: Summary level: 050, state:48> county:251",1763,6531,7821,2656,13995,5116,836,3735,6152,16796,4813,4400,3324,22078,11011,14951,8662,21236,164041,151615,5962,819,1627,661,3357,36.8,109104,1219,16,19,64,223,188,312,236,1372,697,1514,2397,2796,2836,1723,31846,2862,80800,5527,8597,12003,164746,121,167212,48,251
437,"Jones County, Texas: Summary level: 050, state:48> county:253",433,312,232,230,402,325,32,380,295,1533,176,236,408,1808,1038,923,482,743,18801,13992,2889,124,77,0,1719,38.2,14710,140,4,1,0,10,38,67,48,47,180,308,608,564,982,187,21856,167,5161,448,491,1050,12839,1,19943,48,253
438,"Karnes County, Texas: Summary level: 050, state:48> county:255",585,535,438,120,563,406,38,162,292,1147,218,403,368,1517,1067,1175,902,614,14939,11825,1053,34,161,0,1866,35.4,10693,269,0,0,36,30,113,18,104,266,91,407,467,270,354,169,27036,284,5559,495,620,699,12633,2,15545,48,255
439,"Kaufman County, Texas: Summary level: 050, state:48> county:257",934,5546,5030,1895,7330,4136,1085,3570,5282,13773,4292,2906,2896,19511,9592,14080,7448,8044,120713,100717,14662,447,1590,78,3219,35.5,79429,1353,10,0,32,62,162,138,339,735,456,932,1746,1590,1877,1873,31774,3450,62125,2835,5922,7930,122679,143,123804,48,257
440,"Kendall County, Texas: Summary level: 050, state:48> county:259",656,1759,1595,521,2363,645,199,1885,2669,4092,1978,1662,581,8722,3369,4612,2007,1895,41885,39336,253,213,392,55,1636,41.4,29910,168,10,0,5,14,49,39,92,538,172,147,277,136,357,160,34853,849,21454,939,1586,1641,43339,49,43769,48,259
441,"Kenedy County, Texas: Summary level: 050, state:48> county:261",93,15,13,0,29,4,0,0,0,31,0,1,25,8,56,37,97,13,568,567,0,0,0,0,1,39.7,382,0,0,0,13,0,35,0,15,31,35,6,24,83,39,0,22847,0,211,0,81,66,568,0,568,48,261
442,"Kent County, Texas: Summary level: 050, state:48> county:263",20,23,10,2,24,2,1,27,12,80,0,4,58,114,49,51,31,18,644,592,6,13,0,0,33,51.0,472,0,0,0,0,3,0,0,0,0,17,0,9,7,22,9,28333,11,274,0,11,18,601,0,647,48,263
443,"Kerr County, Texas: Summary level: 050, state:48> county:265",707,2549,1237,310,2869,679,302,1276,1844,5231,2561,1810,945,6949,5340,5079,2733,2219,50556,45818,765,316,431,41,3185,47.4,37607,254,0,0,21,36,155,13,68,694,102,352,802,605,680,508,27511,1228,23548,1312,2611,4264,50996,25,51843,48,265
444,"Kimble County, Texas: Summary level: 050, state:48> county:267",253,256,75,17,250,61,12,35,127,422,270,214,59,711,384,360,436,160,4247,4027,48,11,0,0,161,52.1,3214,22,0,0,0,0,16,2,12,31,54,50,48,49,130,65,25094,88,2139,108,156,530,4334,0,4373,48,267
445,"King County, Texas: Summary level: 050, state:48> county:269",56,11,0,0,4,4,0,0,0,25,0,0,13,39,26,17,21,10,237,234,0,0,0,0,3,40.0,158,0,0,0,0,1,7,0,0,5,0,5,0,3,5,6,33750,13,126,3,6,1,237,0,237,48,269
446,"Kinney County, Texas: Summary level: 050, state:48> county:271",40,133,0,0,44,170,0,21,37,297,83,41,336,329,454,138,110,171,3658,3521,5,1,0,0,131,49.8,2957,55,0,0,0,8,28,0,0,175,6,38,63,94,80,88,19296,34,1236,25,128,211,3386,0,3659,48,271
447,"Kleberg County, Texas: Summary level: 050, state:48> county:273",1091,898,753,190,1716,600,83,467,837,3567,1270,532,850,3518,2546,2892,1853,2045,30278,27421,1018,68,695,0,1076,28.3,17183,401,0,4,0,52,83,62,61,366,91,561,709,547,423,343,22844,1196,14050,446,2082,2039,30046,79,30974,48,273
448,"Knox County, Texas: Summary level: 050, state:48> county:275",367,124,84,66,100,77,3,86,41,347,88,54,54,431,146,273,373,268,3610,3142,206,9,40,0,213,39.5,2398,67,0,4,0,0,26,0,40,50,18,11,78,56,64,19,26690,57,1548,114,189,281,3571,16,3705,48,275
449,"Lamar County, Texas: Summary level: 050, state:48> county:277",742,1679,3260,398,3210,1416,180,890,1262,5263,1712,689,801,6067,3771,4883,2627,4154,47696,40350,6358,283,384,71,250,40.7,33821,449,0,0,0,50,118,28,118,221,237,458,928,1044,1031,624,25175,1091,22593,1182,2890,3869,49061,58,49611,48,277
450,"Lamb County, Texas: Summary level: 050, state:48> county:279",918,364,389,103,536,421,26,194,318,1353,406,244,319,1919,890,1061,930,791,12777,11819,515,50,73,0,320,36.4,8329,242,0,11,7,34,137,46,60,284,95,219,184,284,245,243,24806,207,5798,569,917,1482,12922,0,13123,48,279
451,"Lampasas County, Texas: Summary level: 050, state:48> county:281",380,760,566,161,1303,291,66,433,771,1804,900,673,843,3147,1771,1867,984,1182,20077,18212,961,132,240,98,434,43.1,14700,200,0,16,6,0,48,15,44,56,48,131,119,172,136,334,30269,634,9585,391,905,1371,20512,12,20862,48,281
452,"La Salle County, Texas: Summary level: 050, state:48> county:283",643,120,121,22,327,123,0,81,102,704,236,22,183,664,545,436,729,310,7140,6454,108,0,12,0,566,36.5,5233,112,0,0,0,21,20,36,97,188,66,279,277,244,345,221,20019,95,2779,164,591,460,6460,2,7416,48,283
453,"Lavaca County, Texas: Summary level: 050, state:48> county:285",917,660,1570,291,1047,412,49,525,459,1823,445,608,313,2735,1181,1944,1405,1854,19438,15747,1281,45,94,5,2266,43.4,13782,129,0,0,5,3,0,90,59,131,113,334,325,339,221,233,29296,299,9418,362,890,714,19582,16,20021,48,285
454,"Lee County, Texas: Summary level: 050, state:48> county:287",577,1140,409,292,670,691,86,418,519,1373,688,607,683,2142,1680,1882,1292,1157,16890,13945,1917,0,182,0,846,41.1,11592,56,0,0,20,77,105,20,75,157,32,271,209,324,212,223,28827,210,8363,367,895,1354,16601,0,17058,48,287
455,"Leon County, Texas: Summary level: 050, state:48> county:289",576,812,358,179,718,508,158,332,305,1030,480,279,527,1602,1259,1265,1253,883,17073,15331,1173,107,138,55,269,44.3,11969,174,0,76,0,2,31,2,58,140,59,171,559,192,456,263,23653,443,6705,561,866,1492,17136,0,17225,48,289
456,"Liberty County, Texas: Summary level: 050, state:48> county:291",1300,4949,4520,984,3149,2557,238,937,2085,5347,1855,1646,1204,7012,4746,6493,5997,6523,82840,67404,8273,496,439,13,6215,35.5,54264,1175,0,3,57,147,368,268,359,1421,418,1063,1984,1939,2059,1030,27199,2301,33072,3226,4780,6932,76291,164,83702,48,291
457,"Limestone County, Texas: Summary level: 050, state:48> county:293",992,904,753,210,1064,551,40,355,484,2373,484,294,597,2347,1757,1840,1446,1711,23151,18013,4037,399,177,67,458,39.9,16201,319,7,0,11,10,101,6,117,460,127,214,299,510,687,187,23703,658,9759,497,1741,2037,22585,13,23417,48,293
458,"Lipscomb County, Texas: Summary level: 050, state:48> county:295",379,142,39,50,154,162,25,63,67,309,72,61,88,446,237,318,276,334,3264,2779,18,65,66,0,336,34.7,2235,28,0,0,0,8,10,31,8,60,0,24,37,72,91,30,27259,104,1715,194,237,238,3357,0,3398,48,295
459,"Live Oak County, Texas: Summary level: 050, state:48> county:297",620,498,321,42,624,406,34,121,317,502,544,217,258,1351,649,878,755,871,12005,11326,279,34,173,0,193,42.2,8672,211,0,0,0,9,95,75,61,86,50,113,336,384,427,156,24005,110,4614,339,718,838,10723,20,12139,48,297
460,"Llano County, Texas: Summary level: 050, state:48> county:299",342,1169,391,111,667,303,103,421,1010,1571,768,475,351,2253,1676,1773,1217,763,20454,19456,143,306,65,0,484,57.4,16841,259,7,0,0,0,0,3,19,257,169,181,147,439,635,272,25152,609,8291,382,1498,1564,20835,154,21047,48,299
461,"Loving County, Texas: Summary level: 050, state:48> county:301",13,0,0,12,2,0,0,6,0,0,0,0,0,10,0,2,0,21,98,95,0,3,0,0,0,55.2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,23750,0,33,0,0,12,98,0,98,48,301
462,"Lubbock County, Texas: Summary level: 050, state:48> county:303",3761,9863,7906,4972,18531,6392,2705,9253,12041,44616,16170,7976,5513,55298,28147,34496,13737,18021,296080,250230,21279,3123,6728,318,14402,30.8,180052,3397,11,14,195,216,502,657,573,2332,833,2242,2926,2926,4417,3646,26244,5900,155599,6802,15949,16044,300582,216,304808,48,303
463,"Lynn County, Texas: Summary level: 050, state:48> county:305",345,166,99,197,270,143,20,74,102,649,139,77,117,796,376,446,459,321,5555,5199,65,16,46,6,223,37.3,3807,92,1,0,0,6,15,48,29,68,38,107,126,130,145,133,25000,172,2570,294,326,459,5789,2,5830,48,305
464,"McCulloch County, Texas: Summary level: 050, state:48> county:307",612,208,265,54,332,291,30,124,189,620,384,360,233,869,865,613,579,776,7648,6668,87,26,60,0,807,44.6,5651,199,0,0,0,13,0,0,13,151,19,193,107,331,140,144,23211,117,3819,341,561,732,7915,0,8057,48,307
465,"McLennan County, Texas: Summary level: 050, state:48> county:309",1277,8794,13212,2922,13901,5832,1418,6959,9148,29414,10365,5955,5327,37272,21062,25049,12647,18494,245458,196885,36746,1089,4053,133,6552,33.3,152262,1963,32,2,140,264,571,297,640,2496,820,1582,3735,3575,4391,2454,25390,4987,119511,6634,13926,15070,246845,196,251089,48,309
466,"McMullen County, Texas: Summary level: 050, state:48> county:311",77,20,9,0,17,11,0,5,47,29,28,22,45,151,62,30,42,25,774,765,0,9,0,0,0,38.2,496,0,0,0,0,0,0,0,0,12,0,0,8,0,8,8,32325,19,329,50,36,52,774,0,774,48,311
467,"Madison County, Texas: Summary level: 050, state:48> county:313",703,424,454,100,592,229,41,270,241,1048,311,195,274,1343,917,971,885,766,13833,10357,2332,26,477,10,631,35.2,9746,112,0,21,20,35,10,11,18,237,58,125,506,269,309,139,24769,171,5053,446,497,752,11105,19,14197,48,313
468,"Marion County, Texas: Summary level: 050, state:48> county:315",175,349,519,161,526,174,41,157,232,906,257,132,86,956,658,861,524,716,9879,7292,2294,11,32,41,209,50.6,7579,82,0,0,0,24,0,0,0,10,23,86,176,253,344,124,22340,402,4117,140,301,690,9886,14,10017,48,315
469,"Martin County, Texas: Summary level: 050, state:48> county:317",597,170,105,43,244,204,43,100,43,546,226,90,72,787,291,513,534,358,5609,4479,48,115,4,8,955,32.7,3321,85,0,0,41,30,5,20,6,38,27,65,231,48,108,47,33282,118,2601,108,241,246,5593,16,5649,48,317
470,"Mason County, Texas: Summary level: 050, state:48> county:319",495,133,62,50,136,134,66,53,94,418,160,205,20,586,414,416,484,126,3942,3705,2,84,101,0,50,46.3,2863,40,0,0,0,56,24,9,17,40,19,10,48,8,68,13,26329,114,2140,178,139,476,4176,0,4186,48,319
471,"Matagorda County, Texas: Summary level: 050, state:48> county:321",991,1876,2060,317,1723,1330,110,411,1061,2990,1352,1086,300,4148,2823,2937,2939,2760,36110,25145,3813,141,710,120,6181,38.2,24102,513,6,0,0,42,312,37,355,773,169,465,545,628,540,300,25473,957,16564,1241,1964,3131,36305,176,36774,48,321
472,"Maverick County, Texas: Summary level: 050, state:48> county:323",1600,1499,840,505,2871,2089,159,883,574,5310,2864,642,1897,3817,6771,4794,2504,3847,57741,54104,280,805,318,24,2210,29.6,32840,1216,0,19,83,378,642,251,678,2838,715,1285,2106,1073,1245,771,18489,2202,23935,4419,6092,7447,57962,69,58174,48,323
473,"Medina County, Texas: Summary level: 050, state:48> county:325",1771,2080,1392,384,1900,1474,49,1178,2164,5233,1643,933,1467,6956,3954,3865,3729,3164,49063,45440,1331,278,359,21,1634,39.0,33616,716,0,13,15,50,75,127,111,481,445,354,919,767,859,727,26529,761,22429,1227,2307,3111,47579,29,50057,48,325
474,"Menard County, Texas: Summary level: 050, state:48> county:327",95,329,15,14,48,101,0,62,20,184,27,56,107,249,109,209,328,163,1932,1710,1,3,0,0,218,51.8,1763,34,0,0,0,0,52,35,0,65,43,30,43,55,6,26,22898,39,1097,101,230,311,2074,0,2119,48,327
475,"Midland County, Texas: Summary level: 050, state:48> county:329",16272,6074,4092,2837,9311,4906,802,4565,7397,15029,6945,5129,1847,30454,12580,18783,12396,10993,163996,138180,11200,968,3356,79,10213,31.7,105138,1968,25,18,76,81,164,271,430,1723,639,1082,2651,2136,3132,1888,38804,2878,88084,7169,9689,10697,166878,117,168167,48,329
476,"Milam County, Texas: Summary level: 050, state:48> county:331",1026,970,807,105,1250,638,160,428,461,1926,858,606,553,2837,1609,1961,1994,1387,24303,21121,2582,73,142,0,385,41.7,16681,325,0,6,26,15,62,80,0,305,277,308,412,329,551,407,26198,488,10276,480,1131,1593,24254,60,24770,48,331
477,"Mills County, Texas: Summary level: 050, state:48> county:333",133,175,119,24,301,80,36,149,130,422,159,112,99,583,387,402,239,328,4888,4804,19,9,11,0,45,52.1,3575,140,0,0,0,33,33,0,49,76,2,45,48,44,90,49,20128,31,1970,105,148,574,4715,13,4889,48,333
478,"Mitchell County, Texas: Summary level: 050, state:48> county:335",497,365,88,69,270,24,13,163,84,690,117,197,218,868,618,520,548,241,8334,6824,840,181,37,0,452,33.9,5574,101,0,0,6,3,44,59,87,43,75,84,127,67,368,125,26595,140,2935,227,378,570,6484,0,8523,48,335
479,"Montague County, Texas: Summary level: 050, state:48> county:337",1052,536,814,158,1044,351,109,483,333,1651,668,541,392,1851,1347,1801,1519,1614,19128,18607,131,159,0,0,231,44.6,13632,175,0,0,0,0,3,52,101,103,134,240,218,291,351,279,27018,462,8594,600,1280,1679,19189,33,19489,48,337
480,"Montgomery County, Texas: Summary level: 050, state:48> county:339",14403,25279,24835,9962,28189,17807,3834,15517,33084,51660,22885,15983,8751,112619,40276,59584,28396,31314,556686,494422,28396,2180,16868,243,14577,37.1,373374,4181,107,30,238,878,1276,754,989,5764,1652,3070,6964,4600,6746,8531,37915,12076,284265,14869,28056,36536,569445,767,571949,48,339
481,"Moore County, Texas: Summary level: 050, state:48> county:341",943,652,2759,241,1135,677,137,119,605,1219,593,353,470,2172,1048,1550,1667,3466,20862,16420,803,110,1463,0,2066,30.8,12470,474,9,0,16,74,198,236,95,1177,187,330,445,380,204,252,31237,523,10426,859,1253,1514,21242,39,21399,48,341
482,"Morris County, Texas: Summary level: 050, state:48> county:343",169,328,860,145,642,294,40,161,219,1318,188,350,278,1266,1048,974,476,1228,12035,8570,2882,38,20,8,517,43.0,8600,108,0,6,0,20,14,0,0,110,46,117,124,142,225,72,23596,428,5420,342,448,1136,12218,9,12373,48,343
483,"Motley County, Texas: Summary level: 050, state:48> county:345",143,71,51,6,58,46,0,4,48,75,38,11,23,256,78,51,117,72,1213,1096,19,0,0,0,98,41.3,880,2,0,0,0,0,0,0,2,0,7,2,10,25,47,15,23807,38,612,16,96,118,1252,0,1252,48,345
484,"Nacogdoches County, Texas: Summary level: 050, state:48> county:347",1219,2274,3354,451,3356,952,400,898,1666,8635,2329,1425,875,8775,4948,6251,3674,4186,64080,49935,11583,689,1055,14,804,30.9,37633,622,4,0,13,94,226,193,138,824,362,427,1065,981,766,705,21426,2663,30497,2050,4781,4384,64576,114,65339,48,347
485,"Navarro County, Texas: Summary level: 050, state:48> county:349",797,1994,3483,444,2425,1157,429,717,1210,4399,1697,1239,1094,6125,3813,3950,2831,4366,47592,36379,5985,924,333,761,3210,38.1,31966,689,0,0,81,302,189,28,43,1111,276,493,1017,873,996,791,24951,1653,22738,1733,3459,3669,48192,30,48995,48,349
486,"Newton County, Texas: Summary level: 050, state:48> county:351",479,422,920,54,575,390,27,87,269,1268,198,261,206,1287,958,971,904,1036,13502,10517,2823,46,77,0,39,44.3,9820,80,0,0,0,16,0,26,101,56,144,109,277,296,437,93,21019,603,5759,429,812,1510,13729,0,13914,48,351
487,"Nolan County, Texas: Summary level: 050, state:48> county:353",421,449,764,105,617,594,30,248,295,1454,738,221,343,1670,1214,1300,850,1245,14737,13090,888,73,43,0,643,37.5,9499,178,0,0,0,3,25,25,80,125,45,237,197,331,215,223,23370,460,6739,626,1071,1100,14724,0,14904,48,353
488,"Nueces County, Texas: Summary level: 050, state:48> county:355",4274,17133,10368,3674,18927,7791,2162,9627,14859,37623,19543,9337,9733,50422,34150,37051,22432,20996,355555,325660,13542,1737,7501,213,6902,35.5,235560,4387,25,4,161,560,1347,675,1254,3523,1941,3598,6611,5357,7143,3875,27335,9995,175046,8478,25810,26359,356637,187,361540,48,355
489,"Ochiltree County, Texas: Summary level: 050, state:48> county:357",978,506,153,152,584,234,10,140,308,836,379,241,124,1054,724,889,1127,851,9823,8884,82,92,26,0,739,32.3,6071,142,0,18,0,23,34,10,92,326,39,169,267,78,256,98,24270,278,4923,493,571,1051,10067,14,10131,48,357
490,"Oldham County, Texas: Summary level: 050, state:48> county:359",101,61,111,13,76,88,3,17,31,253,76,48,63,312,149,215,137,128,2035,1928,66,1,39,0,1,35.9,1263,20,0,0,0,0,0,3,3,12,0,12,21,26,13,12,27938,13,954,7,77,89,1669,0,2094,48,359
491,"Orange County, Texas: Summary level: 050, state:48> county:361",475,3912,6355,878,4161,2126,297,1684,3407,7964,3317,1786,1312,11262,6035,8075,5482,6820,82689,73496,7327,283,1022,0,561,37.9,56139,454,0,20,0,34,16,59,54,351,192,647,1070,1665,1443,773,31543,1979,39653,2285,4320,6580,83317,27,84069,48,361
492,"Palo Pinto County, Texas: Summary level: 050, state:48> county:363",782,1266,1310,341,1158,621,177,588,718,2220,1326,720,536,3432,2284,2421,1657,1969,28095,26133,715,198,226,29,794,40.6,19449,242,3,0,7,0,82,27,116,309,92,411,330,575,548,336,23594,939,12702,1373,1707,2395,28298,42,28540,48,363
493,"Panola County, Texas: Summary level: 050, state:48> county:365",1815,570,574,191,1092,572,45,404,590,2100,596,440,558,2860,1518,2066,1436,1667,23182,18899,4032,36,57,0,158,39.2,15741,269,0,1,0,9,64,5,27,238,84,116,243,556,770,313,26162,497,10044,909,1364,1681,23097,0,23327,48,365
494,"Parker County, Texas: Summary level: 050, state:48> county:367",2930,6346,6871,1651,7406,4205,839,3468,5102,12803,4086,3547,3141,23499,8943,13799,7881,8273,130611,124714,1781,1253,757,79,2027,39.7,89787,1596,1,3,11,68,125,173,158,499,404,529,1456,1793,1746,1657,32185,3090,65485,3787,6146,9194,132401,101,133811,48,367
495,"Parmer County, Texas: Summary level: 050, state:48> county:369",827,287,797,32,260,252,41,115,223,829,290,240,181,1264,657,716,797,940,9200,8409,116,35,42,28,570,33.4,5989,178,0,0,18,60,103,55,157,454,14,186,123,182,181,36,29158,84,4458,382,768,761,9638,7,9718,48,369
496,"Pecos County, Texas: Summary level: 050, state:48> county:371",971,546,222,87,907,548,39,289,232,987,475,262,557,1530,1294,1160,1053,1085,15584,13059,556,174,96,24,1675,35.9,10544,383,0,73,17,129,154,90,39,515,94,313,374,395,457,224,27388,153,6275,517,1000,880,13542,53,15815,48,371
497,"Polk County, Texas: Summary level: 050, state:48> county:373",939,2655,1653,269,2219,1228,97,863,1388,3656,1886,832,1184,4521,3900,4302,3230,2916,47923,41071,4794,797,378,70,813,43.7,35202,289,0,0,33,39,108,118,16,558,321,610,1318,1136,1148,766,25626,1512,20381,945,2748,4578,45390,5,48913,48,373
498,"Potter County, Texas: Summary level: 050, state:48> county:375",804,4942,7942,1403,6433,2809,538,2281,3629,10330,5394,3008,2253,12151,11367,10791,6774,10683,116065,93546,12048,761,6469,258,2983,33.9,75714,2374,13,0,189,181,207,189,394,2199,521,1513,2433,2857,2816,1539,25457,1848,53614,4812,10312,9580,112967,248,119674,48,375
499,"Presidio County, Texas: Summary level: 050, state:48> county:377",583,222,12,7,220,18,57,111,9,516,433,78,194,882,541,278,679,80,6975,6561,0,204,94,0,116,41.9,4411,253,0,0,5,101,211,79,217,681,36,153,199,61,45,14,14817,295,2755,620,260,869,6975,68,6975,48,377
500,"Rains County, Texas: Summary level: 050, state:48> county:379",175,766,542,226,563,314,34,278,499,922,316,273,94,1315,805,1111,770,1001,11622,10505,415,65,42,0,595,48.4,8734,112,0,0,0,21,120,0,10,128,102,79,204,200,220,81,24729,212,5214,311,630,1278,11703,55,11766,48,379
501,"Randall County, Texas: Summary level: 050, state:48> county:381",1706,5110,5043,2341,8500,4626,991,4506,5508,18239,5757,3982,3922,26786,11191,16892,6869,8493,129485,118890,3678,712,2589,387,3229,35.9,88390,693,5,0,9,78,99,37,134,186,219,552,725,1291,1361,1377,34417,2510,72741,1748,5791,5045,133137,42,134026,48,381
502,"Reagan County, Texas: Summary level: 050, state:48> county:383",802,38,14,10,139,193,0,7,34,214,106,79,33,453,131,280,489,316,3701,1719,32,0,6,0,1944,30.0,2175,26,0,0,0,0,0,0,90,32,0,21,75,25,92,26,38030,101,1770,209,274,342,3731,0,3766,48,383
503,"Real County, Texas: Summary level: 050, state:48> county:385",123,139,4,2,137,48,15,66,66,256,196,73,0,332,265,293,179,56,3407,3245,19,0,2,0,141,47.4,2257,34,0,47,0,0,3,2,0,48,3,76,17,56,77,14,20868,16,1141,148,326,395,3308,10,3408,48,385
504,"Red River County, Texas: Summary level: 050, state:48> county:387",309,364,815,99,316,247,22,296,209,1413,325,188,409,1327,1034,953,827,871,11888,9642,2039,60,10,0,137,45.9,8921,71,0,0,7,0,7,39,7,34,50,201,181,310,228,170,22731,350,5362,173,492,1055,11974,0,12171,48,387
505,"Reeves County, Texas: Summary level: 050, state:48> county:389",1191,310,353,132,532,435,0,140,187,1381,615,89,548,1429,1016,1043,882,1543,15375,12014,446,8,204,21,2682,35.8,10500,288,7,0,145,48,238,54,108,352,107,350,357,454,569,100,22515,583,6496,463,1185,1121,13635,8,15492,48,389
506,"Refugio County, Texas: Summary level: 050, state:48> county:391",318,308,201,49,389,139,12,134,155,519,232,155,159,673,732,564,372,429,6842,5766,480,20,21,0,555,43.3,4817,83,0,0,0,15,16,6,9,73,37,98,112,121,260,121,22952,204,2974,197,418,494,6981,0,7145,48,391
507,"Roberts County, Texas: Summary level: 050, state:48> county:393",59,46,33,18,49,11,2,8,21,77,13,10,10,143,63,69,34,48,782,782,0,0,0,0,0,43.2,560,0,0,0,0,0,0,0,0,0,0,0,22,7,12,0,30806,7,364,16,25,44,805,0,805,48,393
508,"Robertson County, Texas: Summary level: 050, state:48> county:395",739,688,746,111,938,546,118,96,479,1864,483,277,300,1992,1417,1534,1162,1280,16806,12988,3474,77,31,18,218,41.5,11599,156,0,16,0,67,17,15,9,155,170,106,230,385,350,119,24907,528,7913,356,830,1042,16796,0,16990,48,395
509,"Rockwall County, Texas: Summary level: 050, state:48> county:397",554,3981,4709,1426,5848,2280,1099,3837,5938,11010,3337,1988,2284,23424,6166,11436,3459,3806,94132,82587,6148,402,2642,48,2305,37.5,63085,521,0,0,0,68,109,0,141,564,335,350,412,624,635,832,46518,1939,50230,2866,3238,4876,96467,126,97175,48,397
510,"Runnels County, Texas: Summary level: 050, state:48> county:399",539,368,505,64,473,246,87,148,302,1126,275,171,134,1426,812,903,623,674,10150,9510,309,16,11,0,304,40.8,7062,70,0,0,34,20,40,38,77,228,35,223,167,223,168,147,24755,114,4552,144,423,789,10065,10,10277,48,399
511,"Rusk County, Texas: Summary level: 050, state:48> county:401",2599,1517,2490,525,2092,1471,125,643,1705,4465,1564,992,988,6289,3557,3830,3242,4258,52351,41975,9075,90,279,30,902,38.2,36843,593,0,0,11,23,85,31,94,863,227,573,1178,1068,1372,1015,26176,1645,22821,1634,2997,4224,48945,138,53755,48,401
512,"Sabine County, Texas: Summary level: 050, state:48> county:403",124,268,148,40,408,218,31,58,211,870,145,419,182,766,699,827,436,394,10130,9348,591,71,10,30,80,53.0,7928,52,0,0,18,0,5,0,15,43,31,140,162,269,342,138,20582,298,3420,141,415,743,10382,0,10471,48,403
513,"San Augustine County, Texas: Summary level: 050, state:48> county:405",167,204,340,24,437,129,55,120,121,777,128,214,83,710,591,604,334,560,8096,6111,1768,132,14,0,71,49.3,6096,119,0,0,5,0,16,1,0,42,37,83,135,195,378,65,21445,215,3014,197,218,767,8050,10,8286,48,405
514,"San Jacinto County, Texas: Summary level: 050, state:48> county:407",600,1843,889,276,1492,774,168,289,829,1446,628,560,506,2385,1664,2313,2056,1882,27490,24134,2598,218,9,10,521,44.9,19953,337,12,0,0,32,19,8,27,195,176,399,642,430,456,358,22614,699,10999,852,1443,3053,28041,112,28180,48,407
515,"San Patricio County, Texas: Summary level: 050, state:48> county:409",1635,3951,2396,783,2826,1695,198,1500,2144,6568,2494,921,1428,8551,5248,5853,4541,4346,65412,61845,1171,211,676,44,1465,35.5,42864,849,0,0,51,93,290,101,267,774,477,990,1493,1096,1321,822,26180,1536,30075,1808,4195,5105,66220,18,67008,48,409
516,"San Saba County, Texas: Summary level: 050, state:48> county:411",540,341,216,52,260,62,15,132,70,429,118,107,196,694,453,455,520,416,5699,5101,121,0,9,0,468,42.4,4207,163,0,0,0,34,21,19,13,113,38,133,157,115,175,80,23253,50,2588,180,386,422,5326,5,5991,48,411
517,"Schleicher County, Texas: Summary level: 050, state:48> county:413",305,93,34,39,137,71,23,118,85,313,27,49,33,407,209,255,251,205,2978,1853,16,0,0,11,1098,36.2,1968,33,0,0,0,34,9,15,3,94,18,49,59,19,40,29,26524,163,1490,226,185,233,2980,0,2983,48,413
518,"Scurry County, Texas: Summary level: 050, state:48> county:415",1308,729,184,115,932,431,45,307,405,1176,623,330,295,1446,1369,1392,1371,1302,16606,14721,792,39,51,0,1003,36.4,11141,184,0,19,67,24,140,85,109,120,95,238,274,450,411,162,27681,289,7169,761,926,1263,15590,0,17096,48,415
