,unnamed:_0,total_agriculture,total_construction,total_manufacturing,total_wholesale_trade,total_retail_trade,transportation_warehousing_utilities,total_information,total_finance_and_real_estate,total_scientific_administrative_and_waste_management_services,total_educational_healthcare_and_social_assistance,total_arts_and_entertainment,total_other_services,total_public_administration,total_management_business_science_and_arts_occupations,total_service_occupations,total_sales_and_office_occupations,total_natural_resources_and_maintenance_occupations,"total_production,_transportation,_and_material_moving_occupations",population_of_one_race_total,white,black_or_african_american,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_other_pacific_islander,population_of_one_race_some_other_race,median_age:_total,ed_total,ed_no_schooling_completed,ed_nursery_school,ed_kindergarten,ed_1st_grade,ed_2nd_grade,ed_3rd_grade,ed_4th_grade,ed_5th_grade,ed_6th_grade,ed_7th_grade,ed_8th_grade,ed_9th_grade,e_10th_grade,ed_11th_grade,ed_12th_grade_no_diploma,median_income,unemployed_pop_16_years_and_over,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip
252,"Genesee County, Michigan: Summary level: 050, state:26> county:049",759,10394,29778,3624,22805,7725,1890,7864,14275,43401,16695,8314,4866,55299,33332,37037,14253,32469,393777,304896,81062,1393,4211,127,2088,40.5,279412,2388,14,40,19,31,145,154,302,392,882,2187,3241,5693,6255,4477,26871,17738,190128,2624,9864,9697,405671,83,407875,26,049
253,"Gladwin County, Michigan: Summary level: 050, state:26> county:051",254,1037,1705,144,1010,478,78,437,535,1833,613,474,356,2300,1518,1912,1291,1933,24900,24513,78,136,131,0,42,50.1,18845,225,9,6,0,5,0,4,11,9,21,529,219,488,567,362,24249,560,9514,715,726,869,25120,17,25279,26,051
254,"Gogebic County, Michigan: Summary level: 050, state:26> county:053",278,406,871,86,739,265,59,204,326,1383,746,259,356,1672,1263,1105,766,1172,14788,13708,582,392,82,12,12,49.3,11535,72,4,0,2,0,0,6,11,34,0,36,117,133,189,124,22865,339,6317,143,371,562,13916,0,15061,26,053
255,"Grand Traverse County, Michigan: Summary level: 050, state:26> county:055",672,3232,5070,1326,6649,1376,718,3271,3958,11426,5639,1941,1476,17749,8549,11268,3694,5494,90031,87402,835,883,537,32,342,42.8,66588,373,2,32,0,29,0,0,9,116,47,166,354,608,789,672,30814,2154,48908,1008,2045,2757,90808,85,92181,26,055
256,"Gratiot County, Michigan: Summary level: 050, state:26> county:057",647,958,2575,259,1534,777,189,546,913,4920,1318,633,1089,4876,3422,3279,1774,3007,40120,37227,2346,242,183,30,92,39.5,28240,301,0,7,2,10,11,26,3,28,16,364,264,484,595,403,25803,994,17352,239,522,875,36619,3,40916,26,057
257,"Hillsdale County, Michigan: Summary level: 050, state:26> county:059",690,1204,4869,429,1992,1151,155,610,798,4836,1250,799,638,5680,3159,3490,2068,5024,45046,44217,332,173,180,0,144,42.3,31260,346,0,0,3,3,15,18,12,95,99,677,450,754,748,475,26318,874,20295,654,1025,1302,45328,14,45757,26,059
258,"Houghton County, Michigan: Summary level: 050, state:26> county:061",280,852,1171,141,1956,465,237,679,1058,5606,1659,665,506,5816,3385,3082,1442,1550,35291,33634,278,143,1000,19,217,33.0,21169,156,0,1,0,0,0,0,45,2,10,168,173,373,361,232,20905,865,16140,340,1305,854,35650,14,36070,26,061
259,"Huron County, Michigan: Summary level: 050, state:26> county:063",1247,873,2851,348,1627,464,189,504,711,3071,965,644,389,4032,2339,2836,1878,2798,30927,30404,150,72,199,0,102,49.2,23078,168,0,12,0,0,16,12,31,71,36,508,310,445,525,382,26855,676,14559,317,721,815,30985,10,31349,26,063
260,"Ingham County, Michigan: Summary level: 050, state:26> county:065",852,5224,13592,2675,14719,5737,2040,10338,13897,41550,15925,7023,9994,58295,27723,31266,7982,18300,275222,216025,33930,1140,19624,107,4396,32.0,176299,2096,0,7,10,92,233,187,119,344,377,1013,1595,2077,2135,2147,26089,10231,153797,1919,8022,5975,288850,162,290587,26,065
261,"Ionia County, Michigan: Summary level: 050, state:26> county:067",1375,1908,6083,714,3328,1151,319,1635,1912,5174,2098,1350,1931,7620,5094,5801,3750,6713,62800,58958,2976,128,269,9,460,38.7,43681,452,0,3,0,23,29,35,6,33,64,430,549,1018,891,595,29878,1359,30337,453,1507,1652,60621,0,64300,26,067
