school,district,type,county,total_students,total_vaccinated,vaccinated_perc,in_progress,unvacinated,total_waivers,waivers_perc,medical_waivers_n,medical_waivers_perc,religion_waivers_n,religion_wavers_perc,phil_waivers_n,phil_waivers_perc,year,state
Detroit Premier Academy,Detroit Premier Academy,Pub,Detroit,43,41,95.3,0,1,1,2.3,0,0.0,1,2.3,0,0.0,2019,MI
Detroit Prep,Detroit Prep,Pub,Detroit,52,47,90.4,0,4,1,1.9,0,0.0,1,1.9,0,0.0,2019,MI
Henderson Academy,Detroit Public Schools Community District,Pub,Detroit,13,12,92.3,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Mackenzie Elementary Middle School,Detroit Public Schools Community District,Pub,Detroit,89,84,94.4,1,4,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Brenda Scott Academy for Theater Arts,Detroit Public Schools Community District,Pub,Detroit,92,86,93.5,3,2,1,1.1,0,0.0,0,0.0,1,1.1,2019,MI
Marion Law Academy,Detroit Public Schools Community District,Pub,Detroit,46,45,97.8,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
International Islamic Academy,Detroit Public Schools Community District,Priv,Detroit,5,3,60.0,0,1,1,20.0,0,0.0,0,0.0,1,20.0,2019,MI
Barton Elementary School,Detroit Public Schools Community District,Pub,Detroit,30,28,93.3,1,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Edmonson Montessori,Detroit Public Schools Community District,Pub,Detroit,28,23,82.1,0,1,4,14.3,0,0.0,1,3.6,3,10.7,2019,MI
Academy of the Americas at Logan,Detroit Public Schools Community District,Pub,Detroit,95,90,94.7,1,4,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Gesu Elementary School,Detroit Public Schools Community District,Priv,Detroit,19,17,89.5,0,0,2,10.5,0,0.0,1,5.3,1,5.3,2019,MI
Starting Point Montessori Kindergarten,Detroit Public Schools Community District,Priv,Detroit,5,5,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
A L Holmes Elementary School,Detroit Public Schools Community District,Pub,Detroit,39,36,92.3,0,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Earhart School,Detroit Public Schools Community District,Pub,Detroit,50,49,98.0,0,0,1,2.0,0,0.0,0,0.0,1,2.0,2019,MI
Ann Arbor Trail Magnet School,Detroit Public Schools Community District,Pub,Detroit,29,26,89.7,1,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Bagley Elementary School of Journalism and Technology,Detroit Public Schools Community District,Pub,Detroit,37,31,83.8,1,3,2,5.4,0,0.0,2,5.4,0,0.0,2019,MI
Golightly Education Center,Detroit Public Schools Community District,Pub,Detroit,49,48,98.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Roberto Clemente Learning Academy,Detroit Public Schools Community District,Pub,Detroit,107,104,97.2,2,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Bennett Elementary School,Detroit Public Schools Community District,Pub,Detroit,79,73,92.4,4,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Bunche Preparatory Academy,Detroit Public Schools Community District,Pub,Detroit,66,63,95.5,2,0,1,1.5,0,0.0,1,1.5,0,0.0,2019,MI
Burns Elementary-Middle School,Detroit Public Schools Community District,Pub,Detroit,34,30,88.2,1,2,1,2.9,0,0.0,0,0.0,1,2.9,2019,MI
Burton International School,Detroit Public Schools Community District,Pub,Detroit,71,65,91.5,0,1,5,7.0,0,0.0,4,5.6,1,1.4,2019,MI
Carstens Elementary School,Detroit Public Schools Community District,Pub,Detroit,45,40,88.9,1,2,2,4.4,0,0.0,0,0.0,2,4.4,2019,MI
Carver STEM Academy,Detroit Public Schools Community District,Pub,Detroit,66,66,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Christ the King School,Detroit Public Schools Community District,Priv,Detroit,10,10,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Chrysler Elementary School,Detroit Public Schools Community District,Pub,Detroit,24,22,91.7,0,1,1,4.2,0,0.0,0,0.0,1,4.2,2019,MI
Clark Elementary School,Detroit Public Schools Community District,Pub,Detroit,48,44,91.7,2,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Cooke STEM Academy,Detroit Public Schools Community District,Pub,Detroit,59,55,93.2,0,0,4,6.8,0,0.0,2,3.4,2,3.4,2019,MI
"Marshall, Thurgood Elementary School",Detroit Public Schools Community District,Pub,Detroit,50,45,90.0,1,4,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Davison Elementary-Middle School,Detroit Public Schools Community District,Pub,Detroit,80,70,87.5,7,0,3,3.8,0,0.0,3,3.8,0,0.0,2019,MI
Waldorf School Assn. of Michigan,Detroit Public Schools Community District,Priv,Detroit,29,19,65.5,0,1,9,31.0,0,0.0,6,20.7,3,10.3,2019,MI
Dixon Elementary School,Detroit Public Schools Community District,Pub,Detroit,64,59,92.2,1,3,1,1.6,1,1.6,0,0.0,0,0.0,2019,MI
Dossin Elementary-Middle School,Detroit Public Schools Community District,Pub,Detroit,35,33,94.3,1,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Durfee Elementary-Middle School,Detroit Public Schools Community District,Pub,Detroit,41,35,85.4,2,3,1,2.4,1,2.4,0,0.0,0,0.0,2019,MI
Edison Elementary School,Detroit Public Schools Community District,Pub,Detroit,64,56,87.5,1,5,2,3.1,0,0.0,0,0.0,2,3.1,2019,MI
Emerson Middle Elementary School,Detroit Public Schools Community District,Pub,Detroit,88,84,95.5,0,2,2,2.3,0,0.0,1,1.1,1,1.1,2019,MI
Gardner Elementary School,Detroit Public Schools Community District,Pub,Detroit,35,30,85.7,3,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Gompers Elementary School,Detroit Public Schools Community District,Pub,Detroit,98,88,89.8,7,2,1,1.0,0,0.0,1,1.0,0,0.0,2019,MI
Greenfield Union Elementary School,Detroit Public Schools Community District,Pub,Detroit,35,32,91.4,0,0,3,8.6,0,0.0,2,5.7,1,2.9,2019,MI
Mary McLeod Bethune Elementary-Middle School,Detroit Public Schools Community District,Pub,Detroit,91,82,90.1,2,3,4,4.4,0,0.0,3,3.3,1,1.1,2019,MI
Hamilton Elementary-Middle School,Detroit Public Schools Community District,Pub,Detroit,21,19,90.5,1,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Palmer Park Preparatory Academy,Detroit Public Schools Community District,Pub,Detroit,34,30,88.2,0,2,2,5.9,0,0.0,2,5.9,0,0.0,2019,MI
Harms Elementary School,Detroit Public Schools Community District,Pub,Detroit,43,40,93.0,0,2,1,2.3,1,2.3,0,0.0,0,0.0,2019,MI
Holy Redeemer Grade School,Detroit Public Schools Community District,Priv,Detroit,22,22,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Hutchinson Elementary Middle School,Detroit Public Schools Community District,Pub,Detroit,43,40,93.0,1,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
John R King Academic and Performing,Detroit Public Schools Community District,Pub,Detroit,61,55,90.2,1,1,4,6.6,0,0.0,3,4.9,1,1.6,2019,MI
Blackwell Institute,Detroit Public Schools Community District,Pub,Detroit,52,50,96.2,2,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Mann Learning Community,Detroit Public Schools Community District,Pub,Detroit,61,59,96.7,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Mark Twain Elementary-Middle School,Detroit Public Schools Community District,Pub,Detroit,34,31,91.2,1,1,1,2.9,1,2.9,0,0.0,0,0.0,2019,MI
Marquette Elementary Middle School,Detroit Public Schools Community District,Pub,Detroit,31,22,71.0,7,0,2,6.5,0,0.0,1,3.2,1,3.2,2019,MI
Mason Academy,Detroit Public Schools Community District,Pub,Detroit,53,47,88.7,5,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Maybury Elementary School,Detroit Public Schools Community District,Pub,Detroit,52,50,96.2,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Munger Elementary Middle School,Detroit Public Schools Community District,Pub,Detroit,87,84,96.6,3,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Neinas Dual Language Learning Academy,Detroit Public Schools Community District,Pub,Detroit,42,38,90.5,0,4,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
