school,district,type,county,total_students,total_vaccinated,vaccinated_perc,in_progress,unvacinated,total_waivers,waivers_perc,medical_waivers_n,medical_waivers_perc,religion_waivers_n,religion_wavers_perc,phil_waivers_n,phil_waivers_perc,year,state
Bursley School,Jenison Public Schools,Pub,Ottawa,71,67,94.4,0,0,4,5.6,0,0.0,1,1.4,3,4.2,2019,MI
Jenison Christian School,Jenison Public Schools,Priv,Ottawa,51,47,92.2,0,0,4,7.8,0,0.0,4,7.8,0,0.0,2019,MI
Sandy Hill School,Jenison Public Schools,Pub,Ottawa,64,62,96.9,0,0,2,3.1,0,0.0,1,1.6,1,1.6,2019,MI
Pinewood School,Jenison Public Schools,Pub,Ottawa,45,43,95.6,0,0,2,4.4,0,0.0,0,0.0,2,4.4,2019,MI
Rosewood School,Jenison Public Schools,Pub,Ottawa,71,71,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Early Childhood Center,Jenison Public Schools,Pub,Ottawa,179,165,92.2,1,0,13,7.3,0,0.0,7,3.9,6,3.4,2019,MI
Jeffers Elementary School,Spring Lake Public Schools,Pub,Ottawa,86,80,93.0,0,0,6,7.0,0,0.0,1,1.2,5,5.8,2019,MI
Holmes Elementary School,Spring Lake Public Schools,Pub,Ottawa,81,80,98.8,0,0,1,1.2,0,0.0,0,0.0,1,1.2,2019,MI
St. Marys School,Spring Lake Public Schools,Priv,Ottawa,17,17,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Vanderbilt Charter Academy,Vanderbilt Charter Academy,Pub,Ottawa,74,74,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Walden Green Montessori,Walden Green Day School,Pub,Ottawa,30,18,60.0,0,0,12,40.0,0,0.0,6,20.0,6,20.0,2019,MI
West Michigan Academy of Arts and Academics,West MI Academy of Arts & Academics,Pub,Ottawa,52,47,90.4,0,0,5,9.6,0,0.0,0,0.0,5,9.6,2019,MI
Pine Creek Elementary School,West Ottawa Public School District,Pub,Ottawa,59,55,93.2,0,1,3,5.1,1,1.7,0,0.0,2,3.4,2019,MI
Woodside Elementary School,West Ottawa Public School District,Pub,Ottawa,100,99,99.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Waukazoo Elementary,West Ottawa Public School District,Pub,Ottawa,115,109,94.8,0,0,6,5.2,0,0.0,1,0.9,5,4.3,2019,MI
North Holland Elementary School,West Ottawa Public School District,Pub,Ottawa,31,30,96.8,0,0,1,3.2,0,0.0,0,0.0,1,3.2,2019,MI
Sheldon Woods Elementary,West Ottawa Public School District,Pub,Ottawa,17,17,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Lakeshore Elementary School,West Ottawa Public School District,Pub,Ottawa,74,74,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Great Lakes Elementary School,West Ottawa Public School District,Pub,Ottawa,94,92,97.9,0,0,2,2.1,0,0.0,0,0.0,2,2.1,2019,MI
Rose Park Christian School,West Ottawa Public School District,Priv,Ottawa,50,49,98.0,0,0,1,2.0,0,0.0,0,0.0,1,2.0,2019,MI
South Olive Christian School,West Ottawa Public School District,Priv,Ottawa,9,9,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Lakewood School,West Ottawa Public School District,Pub,Ottawa,70,66,94.3,0,0,4,5.7,0,0.0,2,2.9,2,2.9,2019,MI
Corpus Christi Catholic School,West Ottawa Public School District,Priv,Ottawa,10,9,90.0,0,0,1,10.0,0,0.0,1,10.0,0,0.0,2019,MI
New Groningen School,Zeeland Public Schools,Pub,Ottawa,46,44,95.7,0,0,2,4.3,0,0.0,0,0.0,2,4.3,2019,MI
Adams Elementary School,Zeeland Public Schools,Pub,Ottawa,82,81,98.8,0,0,1,1.2,0,0.0,0,0.0,1,1.2,2019,MI
Libertas Christian School,Zeeland Public Schools,Priv,Ottawa,38,31,81.6,0,0,7,18.4,0,0.0,0,0.0,7,18.4,2019,MI
Lincoln Elementary School,Zeeland Public Schools,Pub,Ottawa,77,71,92.2,0,0,6,7.8,0,0.0,4,5.2,2,2.6,2019,MI
Roosevelt Elementary School,Zeeland Public Schools,Pub,Ottawa,86,81,94.2,1,0,4,4.7,0,0.0,1,1.2,3,3.5,2019,MI
Woodbridge Elementary School,Zeeland Public Schools,Pub,Ottawa,88,85,96.6,0,1,2,2.3,0,0.0,1,1.1,1,1.1,2019,MI
Borculo Christian School,Zeeland Public Schools,Priv,Ottawa,29,29,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Zeeland Christian School,Zeeland Public Schools,Priv,Ottawa,131,121,92.4,0,0,10,7.6,0,0.0,4,3.1,6,4.6,2019,MI
Quincy Elementary School,Zeeland Public Schools,Pub,Ottawa,83,82,98.8,0,0,1,1.2,0,0.0,0,0.0,1,1.2,2019,MI
Onaway and Millersburg Elementary School,Onaway Area Community School District,Pub,Presque Isle,42,36,85.7,1,0,5,11.9,0,0.0,0,0.0,5,11.9,2019,MI
Posen Consolidated  School,Posen Consolidated School District,Pub,Presque Isle,15,13,86.7,0,0,2,13.3,0,0.0,0,0.0,2,13.3,2019,MI
Rogers City Elementary School,Rogers City Area Schools,Pub,Presque Isle,31,31,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St. Ignatius Catholic School,Rogers City Area Schools,Priv,Presque Isle,9,9,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Charlton Heston Academy,Charlton Heston Academy,Pub,Roscommon,62,54,87.1,2,4,2,3.2,1,1.6,1,1.6,0,0.0,2019,MI
Collins Lower Elementary School,Houghton Lake Community Schools,Pub,Roscommon,89,82,92.1,1,0,6,6.7,0,0.0,2,2.2,4,4.5,2019,MI
Our Lady of the Lake School,Houghton Lake Community Schools,Priv,Roscommon,6,3,50.0,0,0,3,50.0,0,0.0,0,0.0,3,50.0,2019,MI
Roscommon Elementary School,Roscommon Area Public Schools,Pub,Roscommon,52,45,86.5,0,3,4,7.7,1,1.9,2,3.8,1,1.9,2019,MI
North Elementary School,Birch Run Area School District,Pub,Saginaw,142,136,95.8,0,1,5,3.5,0,0.0,2,1.4,3,2.1,2019,MI
Thomas White Elementary Sch,Bridgeport-Spaulding Community School District,Pub,Saginaw,99,92,92.9,0,5,2,2.0,0,0.0,2,2.0,0,0.0,2019,MI
Bridgeport Baptist Academy,Bridgeport-Spaulding Community School District,Priv,Saginaw,8,6,75.0,1,0,1,12.5,0,0.0,1,12.5,0,0.0,2019,MI
Carrollton Elementary School,Carrollton School District,Pub,Saginaw,151,147,97.4,1,0,3,2.0,0,0.0,3,2.0,0,0.0,2019,MI
Bethlehem Luthern School,Carrollton School District,Priv,Saginaw,23,22,95.7,0,0,1,4.3,1,4.3,0,0.0,0,0.0,2019,MI
Zion Evangelical Lutheran School,Chesaning Union Schools,Priv,Saginaw,6,6,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Big Rock Elementary School,Chesaning Union Schools,Pub,Saginaw,105,99,94.3,0,5,1,1.0,0,0.0,0,0.0,1,1.0,2019,MI
Francis Reh Public School Acad,Francis Reh PSA,Pub,Saginaw,56,51,91.1,0,4,1,1.8,0,0.0,1,1.8,0,0.0,2019,MI
List Elementary School,Frankenmuth School District,Pub,Saginaw,102,99,97.1,0,0,3,2.9,0,0.0,0,0.0,3,2.9,2019,MI
Immanuel Lutheran School,Frankenmuth School District,Priv,Saginaw,6,6,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St. Lorenz Lutheran School,Frankenmuth School District,Priv,Saginaw,52,46,88.5,0,1,5,9.6,0,0.0,2,3.8,3,5.8,2019,MI
Freeland Learning Center,Freeland Community School District,Pub,Saginaw,166,164,98.8,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Hemlock Elementary School,Hemlock Public School District,Pub,Saginaw,108,106,98.1,1,0,1,0.9,0,0.0,0,0.0,1,0.9,2019,MI
St. Peter Lutheran School,Hemlock Public School District,Priv,Saginaw,19,18,94.7,0,0,1,5.3,0,0.0,0,0.0,1,5.3,2019,MI
International Academy of Saginaw,International Academy of Saginaw,Pub,Saginaw,12,10,83.3,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Merrill Elementary School,Merrill Community Schools,Pub,Saginaw,30,28,93.3,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
North Saginaw Charter Academy,North Saginaw Charter Academy,Pub,Saginaw,68,66,97.1,0,0,2,2.9,1,1.5,1,1.5,0,0.0,2019,MI
Herig Elementary School,Saginaw City School District,Pub,Saginaw,48,45,93.8,0,2,1,2.1,0,0.0,0,0.0,1,2.1,2019,MI
Handley School,Saginaw City School District,Pub,Saginaw,39,37,94.9,0,0,2,5.1,0,0.0,2,5.1,0,0.0,2019,MI
Zilwaukee School,Saginaw City School District,Pub,Saginaw,31,30,96.8,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Jessie Rouse Elementary School,Saginaw City School District,Pub,Saginaw,39,37,94.9,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Loomis Math Science and Technology Academy,Saginaw City School District,Pub,Saginaw,63,60,95.2,0,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Chester F. Miller  School,Saginaw City School District,Pub,Saginaw,43,38,88.4,2,2,1,2.3,0,0.0,0,0.0,1,2.3,2019,MI
Holy Cross Lutheran School,Saginaw City School District,Priv,Saginaw,14,11,78.6,0,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Kempton Elementary School,Saginaw City School District,Pub,Saginaw,48,47,97.9,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Merrill Park Elementary School,Saginaw City School District,Pub,Saginaw,54,51,94.4,0,2,1,1.9,0,0.0,0,0.0,1,1.9,2019,MI
St Paul Lutheran School,Saginaw City School District,Priv,Saginaw,10,10,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Stone Elementary School,Saginaw City School District,Pub,Saginaw,55,53,96.4,1,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Arthur Eddy K-8 Academy,Saginaw City School District,Pub,Saginaw,61,59,96.7,1,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Saginaw Preparatory Academy,Saginaw Preparatory Academy,Pub,Saginaw,28,27,96.4,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Nouvel Catholic Central Elementary,Saginaw Township Community Schools,Priv,Saginaw,49,48,98.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Hemmeter Elementary School,Saginaw Township Community Schools,Pub,Saginaw,44,43,97.7,0,0,1,2.3,0,0.0,0,0.0,1,2.3,2019,MI
Peace Lutheran School,Saginaw Township Community Schools,Priv,Saginaw,35,34,97.1,0,0,1,2.9,1,2.9,0,0.0,0,0.0,2019,MI
Westdale Elementary School,Saginaw Township Community Schools,Pub,Saginaw,138,129,93.5,2,6,1,0.7,0,0.0,0,0.0,1,0.7,2019,MI
Sherwood Elementary School,Saginaw Township Community Schools,Pub,Saginaw,180,171,95.0,0,8,1,0.6,0,0.0,1,0.6,0,0.0,2019,MI
Grace Christian School,Saginaw Township Community Schools,Priv,Saginaw,7,5,71.4,0,1,1,14.3,1,14.3,0,0.0,0,0.0,2019,MI
Good Shepherd Lutheran KD,Saginaw Township Community Schools,Priv,Saginaw,21,20,95.2,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St Charles Elementary School,St. Charles Community Schools,Pub,Saginaw,63,58,92.1,0,4,1,1.6,0,0.0,1,1.6,0,0.0,2019,MI
Shields Elementary School,Swan Valley School District,Pub,Saginaw,170,167,98.2,0,0,3,1.8,0,0.0,1,0.6,2,1.2,2019,MI
The Woodley Leadership Academy,Woodley Leadership Academy,Pub,Saginaw,28,25,89.3,1,0,2,7.1,1,3.6,1,3.6,0,0.0,2019,MI
Brown City Elementary School,Brown City Community Schools,Pub,Sanilac,60,54,90.0,1,0,5,8.3,0,0.0,0,0.0,5,8.3,2019,MI
Carsonville-Port Sanilac Elementary School,Carsonville-Port Sanilac School District,Pub,Sanilac,22,21,95.5,0,0,1,4.5,0,0.0,0,0.0,1,4.5,2019,MI
Meyer Elementary School,Croswell-Lexington Community Schools,Pub,Sanilac,48,46,95.8,0,1,1,2.1,0,0.0,0,0.0,1,2.1,2019,MI
Frostick School,Croswell-Lexington Community Schools,Pub,Sanilac,76,68,89.5,0,2,6,7.9,0,0.0,0,0.0,6,7.9,2019,MI
Deckerville Elementary School,Deckerville Community School District,Pub,Sanilac,42,39,92.9,1,0,2,4.8,0,0.0,0,0.0,2,4.8,2019,MI
Marlette Elementary,Marlette Community Schools,Pub,Sanilac,78,71,91.0,0,4,3,3.8,1,1.3,0,0.0,2,2.6,2019,MI
Peck Community Elem. School,Peck Community School District,Pub,Sanilac,23,21,91.3,0,1,1,4.3,0,0.0,0,0.0,1,4.3,2019,MI
Sandusky Elementary School,Sandusky Community School District,Pub,Sanilac,94,85,90.4,1,0,8,8.5,0,0.0,4,4.3,4,4.3,2019,MI
Emerald Elementary School,Manistique Area Schools,Pub,Schoolcraft,40,39,97.5,0,0,1,2.5,1,2.5,0,0.0,0,0.0,2019,MI
Byron Area Elementary School,Byron Area Schools,Pub,Shiawassee,53,50,94.3,0,0,3,5.7,0,0.0,0,0.0,3,5.7,2019,MI
Nellie Reed Elementary School,Corunna Public School District,Pub,Shiawassee,126,124,98.4,0,0,2,1.6,0,0.0,1,0.8,1,0.8,2019,MI
Bertha Neal Elementary School,Durand Area Schools,Pub,Shiawassee,82,75,91.5,1,4,2,2.4,0,0.0,0,0.0,2,2.4,2019,MI
Laingsburg Early Childhood Education Center-K,Laingsburg Community School District,Pub,Shiawassee,104,96,92.3,0,2,6,5.8,0,0.0,2,1.9,4,3.8,2019,MI
Morrice Area Elementary School,Morrice Area Schools,Pub,Shiawassee,42,40,95.2,0,0,2,4.8,0,0.0,2,4.8,0,0.0,2019,MI
New Lothrop Elementary School,New Lothrop Area Public Schools,Pub,Shiawassee,76,70,92.1,0,3,3,3.9,0,0.0,2,2.6,1,1.3,2019,MI
Emerson Elementary School,Owosso Public Schools,Pub,Shiawassee,95,91,95.8,0,1,3,3.2,0,0.0,2,2.1,1,1.1,2019,MI
Bryant School,Owosso Public Schools,Pub,Shiawassee,80,76,95.0,0,2,2,2.5,0,0.0,1,1.3,1,1.3,2019,MI
Central Elementary School,Owosso Public Schools,Pub,Shiawassee,65,61,93.8,0,2,2,3.1,0,0.0,0,0.0,2,3.1,2019,MI
Salem Lutheran School,Owosso Public Schools,Priv,Shiawassee,5,4,80.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St. Paul School,Owosso Public Schools,Priv,Shiawassee,9,9,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Perry Elementary School,Perry Public School District,Pub,Shiawassee,80,74,92.5,2,1,3,3.8,1,1.3,0,0.0,2,2.5,2019,MI
Millside Elementary School,Algonac Community School District,Pub,St. Clair,85,81,95.3,0,1,3,3.5,0,0.0,0,0.0,3,3.5,2019,MI
Capac Elementary School,Capac Community School District,Pub,St. Clair,57,50,87.7,1,1,5,8.8,0,0.0,0,0.0,5,8.8,2019,MI
Pine River Elementary School,East China School District,Pub,St. Clair,60,50,83.3,1,3,6,10.0,0,0.0,2,3.3,4,6.7,2019,MI
Belle River Elementary School,East China School District,Pub,St. Clair,60,53,88.3,0,1,6,10.0,0,0.0,2,3.3,4,6.7,2019,MI
Gearing Elementary School,East China School District,Pub,St. Clair,78,70,89.7,1,1,6,7.7,0,0.0,2,2.6,4,5.1,2019,MI
St. Mary School,East China School District,Priv,St. Clair,10,9,90.0,0,0,1,10.0,0,0.0,1,10.0,0,0.0,2019,MI
Palms Elementary School,East China School District,Pub,St. Clair,39,32,82.1,1,1,5,12.8,1,2.6,0,0.0,4,10.3,2019,MI
East Shore Leadership Academy,East Shore Leadership Academy,Pub,St. Clair,29,28,96.6,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Landmark Academy,Landmark Academy,Pub,St. Clair,57,54,94.7,0,1,2,3.5,0,0.0,0,0.0,2,3.5,2019,MI
Gardens Elementary School,Marysville Public Schools,Pub,St. Clair,75,68,90.7,0,4,3,4.0,0,0.0,1,1.3,2,2.7,2019,MI
Morton Elementary School,Marysville Public Schools,Pub,St. Clair,50,46,92.0,0,1,3,6.0,0,0.0,0,0.0,3,6.0,2019,MI
Washington Elementary School,Marysville Public Schools,Pub,St. Clair,92,81,88.0,0,1,10,10.9,0,0.0,2,2.2,8,8.7,2019,MI
Memphis Elementary School,Memphis Community Schools,Pub,St. Clair,68,63,92.6,0,2,3,4.4,0,0.0,1,1.5,2,2.9,2019,MI
Blue Water Christian Academy,Port Huron Area School District,Priv,St. Clair,7,2,28.6,0,1,4,57.1,0,0.0,3,42.9,1,14.3,2019,MI
New Life Christian Academy,Port Huron Area School District,Priv,St. Clair,17,13,76.5,0,1,3,17.6,0,0.0,1,5.9,2,11.8,2019,MI
Literacy Academy at Cleveland Elementary,Port Huron Area School District,Pub,St. Clair,92,85,92.4,0,1,6,6.5,0,0.0,1,1.1,5,5.4,2019,MI
Garfield Elementary School,Port Huron Area School District,Pub,St. Clair,55,51,92.7,0,0,4,7.3,0,0.0,0,0.0,4,7.3,2019,MI
H.D. Crull Elementary School,Port Huron Area School District,Pub,St. Clair,77,73,94.8,0,2,2,2.6,0,0.0,1,1.3,1,1.3,2019,MI
Keewahdin Elementary School,Port Huron Area School District,Pub,St. Clair,75,70,93.3,0,4,1,1.3,0,0.0,0,0.0,1,1.3,2019,MI
Michigamme Elementary School,Port Huron Area School District,Pub,St. Clair,74,66,89.2,0,0,8,10.8,0,0.0,1,1.4,7,9.5,2019,MI
Roosevelt Elementary School,Port Huron Area School District,Pub,St. Clair,46,45,97.8,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St. Edward on the Lake School,Port Huron Area School District,Priv,St. Clair,12,11,91.7,0,0,1,8.3,0,0.0,0,0.0,1,8.3,2019,MI
St. Mary Academy,Port Huron Area School District,Priv,St. Clair,32,31,96.9,0,0,1,3.1,0,0.0,0,0.0,1,3.1,2019,MI
Edison Elementary School,Port Huron Area School District,Pub,St. Clair,68,63,92.6,1,0,4,5.9,0,0.0,2,2.9,2,2.9,2019,MI
Indian Woods Elementary School,Port Huron Area School District,Pub,St. Clair,72,64,88.9,0,1,7,9.7,0,0.0,3,4.2,4,5.6,2019,MI
John F. Farrell-Emmett Elementary School,Yale Public Schools,Pub,St. Clair,23,23,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Avoca Elementary School,Yale Public Schools,Pub,St. Clair,43,36,83.7,0,2,5,11.6,0,0.0,1,2.3,4,9.3,2019,MI
Yale Elementary School,Yale Public Schools,Pub,St. Clair,52,49,94.2,0,1,2,3.8,1,1.9,1,1.9,0,0.0,2019,MI
Burr Oak Elementary School,Burr Oak Community School District,Pub,St. Joseph,18,16,88.9,0,1,1,5.6,0,0.0,1,5.6,0,0.0,2019,MI
Centreville Elementary School,Centreville Public Schools,Pub,St. Joseph,56,48,85.7,1,1,6,10.7,0,0.0,0,0.0,6,10.7,2019,MI
Lake Area Christian School,Centreville Public Schools,Priv,St. Joseph,6,6,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Colon Elementary School,Colon Community School District,Pub,St. Joseph,44,41,93.2,0,2,1,2.3,0,0.0,1,2.3,0,0.0,2019,MI
Eastside Elementary School,Constantine Public School District,Pub,St. Joseph,97,90,92.8,0,1,6,6.2,0,0.0,2,2.1,4,4.1,2019,MI
Mendon Elementary School,Mendon Community School District,Pub,St. Joseph,38,34,89.5,0,0,4,10.5,0,0.0,0,0.0,4,10.5,2019,MI
Nottawa Community School,Nottawa Community School,Pub,St. Joseph,19,12,63.2,0,0,7,36.8,0,0.0,1,5.3,6,31.6,2019,MI
Congress Elementary School,Sturgis Public Schools,Pub,St. Joseph,47,44,93.6,1,1,1,2.1,0,0.0,0,0.0,1,2.1,2019,MI
Wenzel Elementary School,Sturgis Public Schools,Pub,St. Joseph,50,46,92.0,1,1,2,4.0,0,0.0,0,0.0,2,4.0,2019,MI
Trinity Lutheran School,Sturgis Public Schools,Priv,St. Joseph,15,14,93.3,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Wall School,Sturgis Public Schools,Pub,St. Joseph,116,110,94.8,3,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Andrews Elementary School,Three Rivers Community Schools,Pub,St. Joseph,63,59,93.7,0,2,2,3.2,0,0.0,0,0.0,2,3.2,2019,MI
Howardsville Christian School,Three Rivers Community Schools,Priv,St. Joseph,39,27,69.2,1,2,9,23.1,0,0.0,7,17.9,2,5.1,2019,MI
Ruth Hoppin School,Three Rivers Community Schools,Pub,St. Joseph,36,33,91.7,1,1,1,2.8,0,0.0,0,0.0,1,2.8,2019,MI
Norton Elementary School,Three Rivers Community Schools,Pub,St. Joseph,37,36,97.3,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Park Elementary School,Three Rivers Community Schools,Pub,St. Joseph,70,65,92.9,1,3,1,1.4,0,0.0,1,1.4,0,0.0,2019,MI
Central Elementary School,White Pigeon Community Schools,Pub,St. Joseph,89,84,94.4,0,2,3,3.4,0,0.0,2,2.2,1,1.1,2019,MI
Akron-Fairgrove Elementary School,Akron-Fairgrove Schools,Pub,Tuscola,31,30,96.8,0,0,1,3.2,0,0.0,0,0.0,1,3.2,2019,MI
McComb Elementary School,Caro Community Schools,Pub,Tuscola,147,138,93.9,0,0,8,5.4,0,0.0,4,2.7,4,2.7,2019,MI
Cass City Elementary School,Cass City Public Schools,Pub,Tuscola,92,87,94.6,0,3,2,2.2,0,0.0,0,0.0,2,2.2,2019,MI
Kingston Elementary,Kingston Community School District,Pub,Tuscola,36,33,91.7,0,1,2,5.6,0,0.0,1,2.8,1,2.8,2019,MI
Mayville Elementary School,Mayville Community School District,Pub,Tuscola,46,43,93.5,0,0,3,6.5,0,0.0,0,0.0,3,6.5,2019,MI
Juniata Christian School,Mayville Community School District,Priv,Tuscola,8,7,87.5,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Kirk Elementary School,Millington Community Schools,Pub,Tuscola,79,71,89.9,4,1,3,3.8,0,0.0,3,3.8,0,0.0,2019,MI
St. Paul Lutheran School,Millington Community Schools,Priv,Tuscola,15,15,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Trinity Lutheran School,Reese Public Schools,Priv,Tuscola,9,5,55.6,0,0,4,44.4,0,0.0,3,33.3,1,11.1,2019,MI
St Michaels Lutheran School,Reese Public Schools,Priv,Tuscola,19,19,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Reese Elementary School,Reese Public Schools,Pub,Tuscola,50,48,96.0,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St. Elizabeth Catholic School,Reese Public Schools,Priv,Tuscola,6,5,83.3,0,0,1,16.7,0,0.0,1,16.7,0,0.0,2019,MI
Unionville-Sebewaing Area Elementary,Unionville-Sebewaing Area S.D.,Pub,Tuscola,44,42,95.5,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Christ the King Lutheran-Unionville,Unionville-Sebewaing Area S.D.,Priv,Tuscola,10,6,60.0,0,4,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Central Elementary School,Vassar Public Schools,Pub,Tuscola,78,73,93.6,0,1,4,5.1,0,0.0,2,2.6,2,2.6,2019,MI
St. Luke's Lutheran School,Vassar Public Schools,Priv,Tuscola,5,5,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Bangor South Walnut Elementary,Bangor Public Schools (Van Buren),Pub,Van Buren,90,83,92.2,1,1,5,5.6,0,0.0,4,4.4,1,1.1,2019,MI
Wood School,Bangor Township S/D #8,Pub,Van Buren,7,6,85.7,0,0,1,14.3,0,0.0,1,14.3,0,0.0,2019,MI
Pullman Elementary School,Bloomingdale Public School District,Pub,Van Buren,30,30,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Bloomingdale Elementary School,Bloomingdale Public School District,Pub,Van Buren,56,51,91.1,0,2,3,5.4,0,0.0,1,1.8,2,3.6,2019,MI
Covert Elementary School,Covert Public Schools,Pub,Van Buren,32,31,96.9,0,0,1,3.1,1,3.1,0,0.0,0,0.0,2019,MI
Davis Elementary School,Decatur Public Schools,Pub,Van Buren,61,58,95.1,0,0,3,4.9,0,0.0,0,0.0,3,4.9,2019,MI
Gobles Elementary School,Gobles Public School District,Pub,Van Buren,60,57,95.0,0,1,2,3.3,0,0.0,1,1.7,1,1.7,2019,MI
Redwood Elementary School,Hartford Public School District,Pub,Van Buren,80,76,95.0,1,2,1,1.3,0,0.0,0,0.0,1,1.3,2019,MI
Lawrence Elementary School,Lawrence Public School District,Pub,Van Buren,20,19,95.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Lawton Elementary School,Lawton Community School District,Pub,Van Buren,75,71,94.7,1,0,3,4.0,1,1.3,0,0.0,2,2.7,2019,MI
Mattawan Early Elementary,Mattawan Consolidated School,Pub,Van Buren,353,335,94.9,0,13,5,1.4,0,0.0,2,0.6,3,0.8,2019,MI
St Mary Catholic School,Paw Paw Public School District,Priv,Van Buren,12,12,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Cedar Street Community and Family Ctr,Paw Paw Public School District,Pub,Van Buren,21,19,90.5,0,1,1,4.8,0,0.0,0,0.0,1,4.8,2019,MI
Paw Paw Early Elementary School,Paw Paw Public School District,Pub,Van Buren,148,144,97.3,2,1,1,0.7,0,0.0,0,0.0,1,0.7,2019,MI
St. Basil School,South Haven Public Schools,Priv,Van Buren,16,14,87.5,0,0,2,12.5,0,0.0,0,0.0,2,12.5,2019,MI
Lincoln School,South Haven Public Schools,Pub,Van Buren,63,61,96.8,1,0,1,1.6,0,0.0,1,1.6,0,0.0,2019,MI
Maple Grove Elementary School,South Haven Public Schools,Pub,Van Buren,100,94,94.0,1,3,2,2.0,0,0.0,0,0.0,2,2.0,2019,MI
St. Paul Ev. Lutheran School,South Haven Public Schools,Priv,Van Buren,5,5,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St Francis of Assisi School,Ann Arbor Public Schools,Priv,Washtenaw,32,31,96.9,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Thurston Elementary School,Ann Arbor Public Schools,Pub,Washtenaw,69,64,92.8,0,2,3,4.3,0,0.0,0,0.0,3,4.3,2019,MI
Wines Elementary School,Ann Arbor Public Schools,Pub,Washtenaw,82,79,96.3,0,1,2,2.4,0,0.0,0,0.0,2,2.4,2019,MI
Burns Park Elementary School,Ann Arbor Public Schools,Pub,Washtenaw,75,72,96.0,0,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Mary D. Mitchell School,Ann Arbor Public Schools,Pub,Washtenaw,67,66,98.5,0,0,1,1.5,0,0.0,0,0.0,1,1.5,2019,MI
Northside Elementary School,Ann Arbor Public Schools,Pub,Washtenaw,61,58,95.1,0,1,2,3.3,0,0.0,1,1.6,1,1.6,2019,MI
Ann Arbor Christian School,Ann Arbor Public Schools,Priv,Washtenaw,14,12,85.7,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Rudolf Steiner School of Ann Arbor,Ann Arbor Public Schools,Priv,Washtenaw,16,7,43.8,0,4,5,31.3,0,0.0,2,12.5,3,18.8,2019,MI
