school_code,county,public/private,district,city,school_name,enrollment_n,vaccinated_n,vaccinated_perc,temp_unvax_n,temp_unvax_perc,perm_med_exempt_n,perm_med_exempt_perc,other_n,other_perc,over_due_n,over_due_perc,five_dose_DTP_n,five_dose_DTP_perc,polio_n,polio_perc,mmr_n,mmr_perc,hepb_n,hepb_perc,varicell_n,varicella_perc,reported,year,state
6090492,ALAMEDA,PUBLIC,EMERY UNIFIED,EMERYVILLE,ANNA YATES ELEMENTARY,61.0,58,95,1,2,0,0,0,0,2,3,58,95,59,97,58,95,--*,≥98%,58,95,Y,2018,CA
6104723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,ARDENWOOD ELEMENTARY,142.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6000558,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BRIER ELEMENTARY,134.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6089320,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BROOKVALE ELEMENTARY,147.0,144,98,2,1,0,0,0,0,1,1,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6000566,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,CABRILLO ELEMENTARY,66.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6000590,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,E. M. GRIMMER ELEMENTARY,76.0,74,97,0,0,2,3,0,0,0,0,74,97,74,97,74,97,74,97,74,97,Y,2018,CA
6111330,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FOREST PARK ELEMENTARY,143.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6106983,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FRED E. WEIBEL ELEMENTARY,105.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6000624,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GLENMOOR ELEMENTARY,95.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6000640,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,HARVEY GREEN ELEMENTARY,94.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6000665,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,J. HALEY DURHAM ELEMENTARY,155.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6000673,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JAMES LEITCH ELEMENTARY,105.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6000541,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN BLACOW ELEMENTARY,102.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6000723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN G. MATTOS ELEMENTARY,91.0,88,97,0,0,2,2,1,1,0,0,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6066468,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN GOMES ELEMENTARY,148.0,145,98,3,2,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6000681,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSEPH AZEVADA ELEMENTARY,100.0,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y,2018,CA
6090526,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSHUA CHADBOURNE ELEMENTARY,93.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
6090534,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION SAN JOSE ELEMENTARY,61.0,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y,2018,CA
