,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_percentage,win_margin,skew,Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
664,2020,12105.0,PRESIDENT,FL,145049.0,194586.0,339635.0,1,57.29,7.29,7.29,602095,1797.837,212.714,2010.551,27.95311,-81.69278
670,2020,12107.0,PRESIDENT,FL,10527.0,25514.0,36041.0,1,70.79,20.79,20.79,74364,727.622,99.299,826.921,29.606,-81.74089
676,2020,12109.0,PRESIDENT,FL,63850.0,110946.0,174796.0,1,63.47,13.47,13.47,190039,600.655,220.870,821.525,29.89059,-81.38391
682,2020,12111.0,PRESIDENT,FL,84137.0,86831.0,170968.0,1,50.79,0.79,0.79,277789,571.926,116.181,688.107,27.38077,-80.44336
688,2020,12113.0,PRESIDENT,FL,27612.0,77385.0,104997.0,1,73.7,23.7,23.7,151372,1011.605,162.173,1173.778,30.70363,-87.01425
694,2020,12115.0,PRESIDENT,FL,120110.0,148370.0,268480.0,1,55.26,5.26,5.26,379448,555.868,169.476,725.344,27.18438,-82.36583
700,2020,12117.0,PRESIDENT,FL,132528.0,125241.0,257769.0,0,51.41,1.41,-1.41,422718,309.221,36.073,345.294,28.69007,-81.13198
706,2020,12119.0,PRESIDENT,FL,29341.0,62761.0,92102.0,1,68.14,18.14,18.14,93420,546.933,32.893,579.826,28.71429,-82.07471
712,2020,12121.0,PRESIDENT,FL,4485.0,16410.0,20895.0,1,78.54,28.54,28.54,41551,688.552,3.704,692.256,30.18924,-82.99275
718,2020,12123.0,PRESIDENT,FL,2299.0,7751.0,10050.0,1,77.12,27.12,27.12,22570,1043.305,188.896,1232.201,30.01694,-83.61641
724,2020,12125.0,PRESIDENT,FL,1053.0,5133.0,6186.0,1,82.98,32.98,32.98,15535,243.556,6.197,249.753,30.05428,-82.36691
730,2020,12127.0,PRESIDENT,FL,130575.0,173821.0,304396.0,1,57.1,7.1,7.1,494593,1101.032,331.404,1432.436,29.05761,-81.16181
736,2020,12129.0,PRESIDENT,FL,5351.0,12874.0,18225.0,1,70.64,20.64,20.64,30776,606.419,129.307,735.726,30.14037,-84.37513
742,2020,12131.0,PRESIDENT,FL,10338.0,32947.0,43285.0,1,76.12,26.12,26.12,55043,1037.625,201.970,1239.595,30.63121,-86.17661
748,2020,12133.0,PRESIDENT,FL,2347.0,9876.0,12223.0,1,80.8,30.8,30.8,24896,582.803,33.151,615.954,30.60221,-85.66279
754,2020,17001.0,PRESIDENT,IL,8633.0,24220.0,32853.0,1,73.72,23.72,23.72,67103,855.202,16.136,871.338,39.98605,-91.19496
760,2020,17003.0,PRESIDENT,IL,1114.0,1486.0,2600.0,1,57.15,7.15,7.15,8238,235.509,17.092,252.601,37.18368,-89.3495
766,2020,17005.0,PRESIDENT,IL,2288.0,5625.0,7913.0,1,71.09,21.09,21.09,17768,380.279,2.481,382.760,38.88592,-89.43659
772,2020,17007.0,PRESIDENT,IL,10542.0,13883.0,24425.0,1,56.84,6.84,6.84,54165,280.719,1.305,282.024,42.31898,-88.82429
778,2020,17009.0,PRESIDENT,IL,486.0,1931.0,2417.0,1,79.89,29.89,29.89,6937,305.607,1.598,307.205,39.96206,-90.75031
784,2020,17011.0,PRESIDENT,IL,6669.0,10411.0,17080.0,1,60.95,10.95,10.95,34978,869.031,4.472,873.503,41.4013,-89.52837
790,2020,17013.0,PRESIDENT,IL,677.0,2046.0,2723.0,1,75.14,25.14,25.14,5089,253.825,29.752,283.577,39.16426,-90.66629
796,2020,17015.0,PRESIDENT,IL,2748.0,5105.0,7853.0,1,65.01,15.01,15.01,15387,444.807,21.553,466.360,42.05908,-89.92648
802,2020,17017.0,PRESIDENT,IL,1615.0,3625.0,5240.0,1,69.18,19.18,19.18,13642,375.818,7.947,383.765,39.9692,-90.2457
808,2020,17019.0,PRESIDENT,IL,57067.0,35285.0,92352.0,0,61.79,11.79,-11.79,201081,996.266,2.127,998.393,40.13915,-88.1972
814,2020,17021.0,PRESIDENT,IL,4335.0,11563.0,15898.0,1,72.73,22.73,22.73,34800,709.377,6.263,715.640,39.54552,-89.27959
820,2020,17023.0,PRESIDENT,IL,1993.0,6226.0,8219.0,1,75.75,25.75,25.75,16335,501.418,3.400,504.818,39.33236,-87.79168
826,2020,17025.0,PRESIDENT,IL,1129.0,5629.0,6758.0,1,83.29,33.29,33.29,13815,468.316,1.276,469.592,38.74731,-88.48378
832,2020,17027.0,PRESIDENT,IL,4493.0,14304.0,18797.0,1,76.1,26.1,26.1,37762,474.085,29.186,503.271,38.60642,-89.42313
838,2020,17029.0,PRESIDENT,IL,8067.0,14037.0,22104.0,1,63.5,13.5,13.5,53873,508.291,1.786,510.077,39.51368,-88.22078
844,2020,17031.0,PRESIDENT,IL,1725973.0,558269.0,2284242.0,0,75.56,25.56,-25.56,5194675,945.326,689.533,1634.859,41.89429,-87.64545
850,2020,17033.0,PRESIDENT,IL,2202.0,7043.0,9245.0,1,76.18,26.18,26.18,19817,443.629,2.189,445.818,39.00373,-87.75717
856,2020,17035.0,PRESIDENT,IL,1142.0,4601.0,5743.0,1,80.11,30.11,30.11,11048,346.024,0.979,347.003,39.27312,-88.24061
862,2020,17037.0,PRESIDENT,IL,24643.0,21905.0,46548.0,0,52.94,2.94,-2.94,105160,631.307,3.353,634.660,41.89461,-88.76899
868,2020,17039.0,PRESIDENT,IL,2191.0,5632.0,7823.0,1,71.99,21.99,21.99,16561,397.513,7.571,405.084,40.18149,-88.90185
874,2020,17041.0,PRESIDENT,IL,2335.0,6227.0,8562.0,1,72.73,22.73,22.73,19980,416.665,0.559,417.224,39.76607,-88.22286
880,2020,17043.0,PRESIDENT,IL,281222.0,193611.0,474833.0,0,59.23,9.23,-9.23,916924,327.499,8.913,336.412,41.85205,-88.08603
886,2020,17045.0,PRESIDENT,IL,1887.0,6193.0,8080.0,1,76.65,26.65,26.65,18576,623.374,0.622,623.996,39.67903,-87.74711
892,2020,17047.0,PRESIDENT,IL,488.0,2833.0,3321.0,1,85.31,35.31,35.31,6721,222.416,0.305,222.721,38.41709,-88.04794
