,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_percentage,win_margin,skew,Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
3184,2020,48441.0,PRESIDENT,TX,14588.0,39547.0,54135.0,1,73.05,23.05,23.05,131506,915.552,3.753,919.305,32.29568,-99.89322
3190,2020,48443.0,PRESIDENT,TX,119.0,334.0,453.0,1,73.73,23.73,23.73,984,2358.026,0.041,2358.067,30.23233,-102.07253
3196,2020,48445.0,PRESIDENT,TX,757.0,2812.0,3569.0,1,78.79,28.79,28.79,12651,888.839,2.102,890.941,33.17122,-102.33928
3202,2020,48447.0,PRESIDENT,TX,82.0,806.0,888.0,1,90.77,40.77,40.77,1641,912.552,2.929,915.481,33.17071,-99.20613
3208,2020,48449.0,PRESIDENT,TX,2856.0,7570.0,10426.0,1,72.61,22.61,22.61,32334,406.054,19.589,425.643,33.21459,-94.96678
3214,2020,48451.0,PRESIDENT,TX,12239.0,32313.0,44552.0,1,72.53,22.53,22.53,110224,1521.972,18.573,1540.545,31.40158,-100.46135
3220,2020,48453.0,PRESIDENT,TX,435860.0,161337.0,597197.0,0,72.98,22.98,-22.98,1024266,990.202,32.806,1023.008,30.23951,-97.69127
3226,2020,48455.0,PRESIDENT,TX,1323.0,5579.0,6902.0,1,80.83,30.83,30.83,14585,693.608,20.360,713.968,31.08748,-95.15329
3232,2020,48457.0,PRESIDENT,TX,1403.0,8194.0,9597.0,1,85.38,35.38,35.38,21766,924.501,11.122,935.623,30.76957,-94.37944
3238,2020,48459.0,PRESIDENT,TX,2877.0,15809.0,18686.0,1,84.6,34.6,34.6,39309,582.947,9.652,592.599,32.73587,-94.94164
3244,2020,48461.0,PRESIDENT,TX,170.0,1178.0,1348.0,1,87.39,37.39,37.39,3355,1241.324,0.179,1241.503,31.35384,-102.04201
3250,2020,48463.0,PRESIDENT,TX,4073.0,6174.0,10247.0,1,60.25,10.25,10.25,26405,1551.946,6.688,1558.634,29.35034,-99.76107
3256,2020,48465.0,PRESIDENT,TX,6771.0,8284.0,15055.0,1,55.02,5.02,5.02,48879,3144.750,87.920,3232.670,29.88496,-101.14664
3262,2020,48467.0,PRESIDENT,TX,3516.0,22270.0,25786.0,1,86.36,36.36,36.36,52579,842.557,17.053,859.610,32.55894,-95.83639
3268,2020,48469.0,PRESIDENT,TX,10380.0,23358.0,33738.0,1,69.23,19.23,19.23,86793,882.143,6.693,888.836,28.79637,-96.97119
3274,2020,48471.0,PRESIDENT,TX,7884.0,15375.0,23259.0,1,66.1,16.1,16.1,67861,784.169,17.335,801.504,30.74309,-95.56988
3280,2020,48473.0,PRESIDENT,TX,8191.0,14260.0,22451.0,1,63.52,13.52,13.52,43205,513.430,4.388,517.818,30.01357,-95.9821
3286,2020,48475.0,PRESIDENT,TX,764.0,3241.0,4005.0,1,80.92,30.92,30.92,10658,835.602,0.241,835.843,31.51306,-103.10511
3292,2020,48477.0,PRESIDENT,TX,4261.0,12959.0,17220.0,1,75.26,25.26,25.26,33718,603.954,17.797,621.751,30.21507,-96.41027
3298,2020,48479.0,PRESIDENT,TX,41820.0,25898.0,67718.0,0,61.76,11.76,-11.76,250304,3361.482,14.107,3375.589,27.77058,-99.32664
3304,2020,48481.0,PRESIDENT,TX,4694.0,11926.0,16620.0,1,71.76,21.76,21.76,41280,1086.150,8.220,1094.370,29.27848,-96.22967
3310,2020,48483.0,PRESIDENT,TX,168.0,2159.0,2327.0,1,92.78,42.78,42.78,5410,914.523,0.958,915.481,35.39259,-100.2531
3316,2020,48485.0,PRESIDENT,TX,13161.0,32069.0,45230.0,1,70.9,20.9,20.9,131500,627.776,5.340,633.116,33.9911,-98.71685
3322,2020,48487.0,PRESIDENT,TX,956.0,3524.0,4480.0,1,78.66,28.66,28.66,13535,970.844,7.049,977.893,34.08492,-99.24244
3328,2020,48489.0,PRESIDENT,TX,3108.0,2441.0,5549.0,0,56.01,6.01,-6.01,22134,590.554,193.714,784.268,26.48109,-97.58422
3334,2020,48491.0,PRESIDENT,TX,143795.0,139729.0,283524.0,0,50.72,0.72,-0.72,422679,1118.303,16.136,1134.439,30.64903,-97.60506
3340,2020,48493.0,PRESIDENT,TX,6350.0,18463.0,24813.0,1,74.41,24.41,24.41,42918,803.733,4.678,808.411,29.1743,-98.08589
3346,2020,48495.0,PRESIDENT,TX,358.0,1753.0,2111.0,1,83.04,33.04,33.04,7110,841.107,0.160,841.267,31.83141,-103.05598
3352,2020,48497.0,PRESIDENT,TX,4973.0,27032.0,32005.0,1,84.46,34.46,34.46,59127,904.422,18.162,922.584,33.21909,-97.65399
3358,2020,48499.0,PRESIDENT,TX,3509.0,19049.0,22558.0,1,84.44,34.44,34.44,41964,645.234,50.484,695.718,32.78358,-95.38216
3364,2020,48501.0,PRESIDENT,TX,420.0,2174.0,2594.0,1,83.81,33.81,33.81,7879,799.708,0.013,799.721,33.17239,-102.82377
3370,2020,48503.0,PRESIDENT,TX,1034.0,7110.0,8144.0,1,87.3,37.3,37.3,18550,914.468,16.391,930.859,33.15878,-98.67826
3376,2020,48505.0,PRESIDENT,TX,1826.0,2033.0,3859.0,1,52.68,2.68,2.68,14018,998.412,59.603,1058.015,26.99698,-99.1826
3382,2020,48507.0,PRESIDENT,TX,2864.0,1490.0,4354.0,0,65.78,15.78,-15.78,11677,1297.406,4.328,1301.734,28.86465,-99.75983
