,unnamed:_0,target_2016,fip,"total_production,_transportation,_and_material_moving_occupations",median_age:_total,median_income,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip,FIPS,Total Areami²,percent_no_hs,pop_density,unemp_rate,uninsured_rate,total_agriculture_percentage,total_construction_percentage,total_manufacturing_percentage,total_wholesale_trade_percentage,total_retail_trade_percentage,transportation_warehousing_utilities_percentage,total_information_percentage,total_finance_and_real_estate_percentage,total_scientific_administrative_and_waste_management_services_percentage,total_educational_healthcare_and_social_assistance_percentage,total_arts_and_entertainment_percentage,total_other_services_percentage,total_public_administration_percentage,total_management_business_science_and_arts_occupations_percentage,total_service_occupations_percentage,total_sales_and_office_occupations_percentage,total_natural_resources_and_maintenance_occupations_percentage,"total_production,_transportation,_and_material_moving_occupations_percentage",percent_white,percent_black,percent_american_indian_and_alaska_native,percent_pacific_islander
152,152,1,17171,516,43.5,26349.0,2617,15,149,262,5150,7,5198,17,171,17171,252.771,1.0921088809458346,20.564067871709966,0.09438288116163546,47.333333333333336,0.05349636988918609,0.0607565915170042,0.1146350783339702,0.055024837600305694,0.10584638899503249,0.06266717615590371,0.01795949560565533,0.061520825372564,0.03477264042797096,0.19793656858998854,0.027130301872372947,0.04623614826136798,0.06763469621704242,0.2529614061902942,0.13870844478410393,0.20940007642338557,0.10737485670615209,0.19717233473442874,0.9961149961149961,0.0,0.0019425019425019425,0.0
153,153,1,17173,2151,44.4,25821.0,10547,198,722,957,21923,2,22115,17,173,17173,768.07,1.0825781748564136,28.792948559376097,0.061818526595240356,208.55555555555554,0.05100976581018299,0.05982743908220347,0.18896368635630986,0.024651559685218545,0.09879586612306818,0.055845264056129704,0.017066464397458993,0.04475206219778136,0.053095667014316866,0.20972788470655163,0.04588982649094529,0.04826016876837015,0.04029581871622262,0.2592206314591827,0.17000094813691097,0.19085996017824974,0.11415568408078126,0.20394424954963497,0.9886059285487312,0.005538154251214308,0.0020881565209496574,0.0
154,154,1,17175,389,45.9,24574.0,2769,25,168,288,5758,4,5859,17,175,17175,288.353,1.114675604500838,20.318845304193125,0.07692307692307693,53.44444444444444,0.09570241964608162,0.043698085951607075,0.14915131816540267,0.03683640303358613,0.10364752618273745,0.04008667388949079,0.01155651859877212,0.040447815095702416,0.05922715781870711,0.23763091368725173,0.053810039725532686,0.029613578909353556,0.021668472372697724,0.3279162152401589,0.17045864933188876,0.1834597327555074,0.10075839653304441,0.14048392921632358,0.9867149758454107,0.00759144237405107,0.0,0.0
155,155,1,17177,4394,44.3,24139.0,24246,146,1697,1879,45878,33,46625,17,177,17177,565.058,1.0950448526270824,82.51365346566193,0.09869669223789491,413.55555555555554,0.04697682091891446,0.05126618823723501,0.1712859853171657,0.021653056174214303,0.0993153509857296,0.04025406252577745,0.006021611812257692,0.05798894663037202,0.06071104512084467,0.21789161098737936,0.05980367895735379,0.04627567433803514,0.021859275756825867,0.26202260166625424,0.15845912727872638,0.2081168027715912,0.09147900684649014,0.18122576919904315,0.88630103783355,0.09444064958244276,0.0010576647643390697,0.0
156,156,1,17179,10099,40.5,30831.0,68654,1088,3717,4436,133362,34,135697,17,179,17179,657.936,1.0727189645278528,206.24650421925537,0.054927608005360215,1026.7777777777778,0.014798846389139744,0.05600547673842748,0.16918169371049027,0.02423748070032336,0.11297229586040143,0.04234276225711539,0.014492964721647683,0.058962332857517404,0.07271244210097008,0.22828968450490866,0.07708218020799953,0.04060943280799371,0.033384799137705014,0.3358726366999738,0.15808255891863549,0.22834794767966907,0.07566929822006001,0.14709995047630145,0.9733396081243604,0.012392712278421442,0.0011802583122306135,0.00019421972226579717
157,157,1,17181,1129,43.6,23960.0,7890,234,658,843,17398,0,17551,17,181,17181,422.148,1.1526442307692308,41.575466424097705,0.06983523447401774,192.77777777777777,0.04537389100126743,0.07008871989860584,0.0770595690747782,0.009125475285171103,0.10836501901140684,0.06539923954372624,0.015842839036755388,0.03979721166032953,0.04664131812420786,0.29100126742712296,0.051457541191381496,0.034220532319391636,0.07579214195183777,0.29404309252217997,0.19074778200253487,0.1788339670468948,0.12344740177439797,0.14309252217997465,0.9614605636247903,0.015450494763034547,0.001041606388519183,0.0
158,158,1,17183,7522,40.0,25498.0,36417,836,2910,3734,78088,73,80368,17,183,17183,901.277,1.1318239643061265,89.17125367672757,0.10717522036411566,831.1111111111111,0.020732075678941152,0.05110250707087349,0.15020457478650082,0.035258258505642966,0.10160090067825465,0.05615509240190021,0.010626905016887718,0.04797210094186781,0.054727187851827445,0.22187439931899935,0.0609605404069528,0.04313919323392921,0.0384710437433067,0.22950819672131148,0.1808496032072933,0.19315155010022791,0.08276354449844853,0.20655188510860312,0.8391368503361037,0.14025551449723173,0.003897037494797644,0.000416188470318195
159,159,1,17185,1260,42.7,25594.0,6028,102,297,484,11569,0,11652,17,185,17185,227.506,1.1069887834339949,51.21623165982436,0.08742534837425349,98.11111111111111,0.06353682813536828,0.059721300597213006,0.15593895155938953,0.0205706702057067,0.09688122096881222,0.06552753815527539,0.0029860650298606504,0.03533510285335103,0.05789648307896483,0.2214664897146649,0.059057730590577305,0.04462508294625083,0.02903118779031188,0.2420371599203716,0.18181818181818182,0.15925680159256803,0.12043795620437957,0.2090245520902455,0.978204237582494,0.009465092045849253,0.0015630427231677665,0.0
160,160,1,17187,1648,40.2,22463.0,8887,102,384,929,17508,2,17701,17,187,17187,543.051,1.1222959579419116,32.595465250961695,0.0921570833802183,157.22222222222223,0.04478451670980083,0.039833464611229885,0.12985259367615617,0.02227973444356926,0.1014965680207044,0.05142342747833915,0.009677056374479577,0.03949589287723641,0.04455946888713852,0.2962754585349387,0.062113199054799145,0.03825812985259368,0.027793406098795995,0.26668166985484415,0.18982783841566334,0.1818386407111511,0.08405536176437493,0.18543940587374816,0.9245077838827839,0.026728479853479852,0.002403846153846154,0.0
161,161,1,17189,1542,42.6,29073.0,7612,81,446,441,14248,41,14457,17,189,17189,563.906,1.0871809857782972,25.6372515986707,0.05491329479768786,107.55555555555556,0.09379926431949553,0.05872306883867578,0.15409879138202837,0.024303730951129796,0.1069364161849711,0.07120336311087756,0.009327377824487651,0.037309511297950605,0.0500525486074619,0.20007882291119286,0.07737782448765108,0.027982133473462952,0.03389385181292696,0.2988702049395691,0.15028901734104047,0.17748292170257488,0.11586967945349448,0.2025748817656332,0.9824389561323725,0.00748618204715595,0.0005597145455817533,0.0
