,C24050_002E,C24050_003E,C24050_004E,C24050_005E,C24050_006E,C24050_007E,C24050_008E,C24050_009E,C24050_010E,C24050_011E,C24050_012E,C24050_013E,C24050_014E,C24050_015E,C24050_029E,C24050_043E,C24050_057E,C24050_071E,C02003_002E,C02003_003E,C02003_004E,C02003_005E,C02003_006E,C02003_007E,C02003_008E,B01002_001E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B19326_001E,B23025_005E,B23025_003E,B27010_017E,B27010_033E,B27010_050E,B27010_001E,B27010_066E,B01003_001E,state_fip,county_fip
"Crockett County, Texas: Summary level: 050, state:48> county:105",654,304,31,0,77,100,0,33,25,325,130,54,118,399,323,384,451,294,3654,2093,10,0,0,0,1551,40.5,2528,17,0,0,28,34,10,39,55,69,28,40,150,130,128,0,28170,33,1884,91,263,378,3619,0,3699,48,105
"Crosby County, Texas: Summary level: 050, state:48> county:107",468,220,87,131,309,91,52,66,85,661,94,115,99,715,485,495,560,223,5888,5406,233,0,0,26,223,38.2,3846,107,3,0,6,0,53,64,30,124,79,96,112,202,227,63,19811,276,2754,151,637,652,5916,20,6007,48,107
"Culberson County, Texas: Summary level: 050, state:48> county:109",165,47,8,10,168,51,5,25,42,177,206,38,78,205,328,247,160,80,2262,2069,9,11,0,3,170,39.2,1443,125,0,0,17,13,46,10,29,76,29,18,43,74,39,28,12843,71,1091,39,226,221,2283,0,2296,48,109
"Dallam County, Texas: Summary level: 050, state:48> county:111",770,177,201,97,369,272,22,86,154,488,442,124,179,687,783,559,729,623,6822,6241,88,120,68,0,305,30.7,4091,75,0,0,0,6,5,21,78,205,20,129,190,94,95,122,23194,201,3582,399,718,544,6975,0,7014,48,111
"Dallas County, Texas: Summary level: 050, state:48> county:113",9086,107776,108623,36847,131478,67472,28929,103445,168145,218931,116294,66191,28741,397068,216515,292062,133084,153229,2420325,1490124,550380,8516,140087,1406,229812,33.1,1568849,35855,343,348,2448,5780,12082,7737,10441,62473,13676,28476,64696,34738,40312,30416,26597,97438,1289396,92289,252521,261797,2464732,5538,2485003,48,113
"Dawson County, Texas: Summary level: 050, state:48> county:115",715,276,263,107,638,316,83,123,195,947,463,237,481,1208,960,1102,800,774,13258,10498,784,288,109,4,1575,33.4,8853,352,7,0,9,50,145,118,83,112,119,272,409,196,407,158,19782,509,5353,571,1093,1001,11622,47,13542,48,115
"Deaf Smith County, Texas: Summary level: 050, state:48> county:117",1219,633,1251,171,984,604,122,293,346,1560,337,597,384,2281,1171,1737,1443,1869,18578,16911,193,169,59,0,1246,31.5,11192,424,0,0,11,32,114,150,180,535,180,345,331,261,374,179,23049,483,8984,551,1856,1654,19058,64,19245,48,117
"Delta County, Texas: Summary level: 050, state:48> county:119",116,125,322,31,204,70,12,117,94,535,58,89,57,597,271,403,206,353,5015,4434,454,23,39,0,65,43.5,3637,43,0,0,0,0,24,0,11,21,3,88,80,58,129,69,21362,289,2119,157,386,391,5152,0,5223,48,119
"Denton County, Texas: Summary level: 050, state:48> county:121",5351,20681,32687,14622,47839,19821,11736,38949,53531,79072,33811,18744,11040,170453,56565,103062,24766,33038,707524,564568,65397,3052,53768,521,20218,34.2,466487,4393,46,99,38,407,759,730,1137,5817,1007,2982,5997,4573,4363,5329,35769,23465,411349,16997,42853,43244,727409,1150,731851,48,121
"DeWitt County, Texas: Summary level: 050, state:48> county:123",1258,517,743,248,625,270,77,342,385,1703,679,465,615,2305,1521,1664,1164,1273,20057,14521,2062,29,18,0,3427,42.2,14491,210,11,0,0,54,118,51,34,355,141,419,306,624,460,312,21935,582,8509,583,1042,1574,18776,2,20540,48,123
"Dickens County, Texas: Summary level: 050, state:48> county:125",140,70,14,3,51,55,30,17,29,221,32,28,54,309,116,126,141,52,2231,2015,139,4,1,0,72,43.1,1634,43,0,0,0,0,0,10,45,5,14,32,104,34,45,55,20507,117,861,76,92,240,2077,3,2281,48,125
"Dimmit County, Texas: Summary level: 050, state:48> county:127",958,91,42,96,752,108,0,165,139,856,484,188,331,814,988,1341,716,351,10667,10182,49,5,23,0,408,34.6,6490,219,0,0,10,53,133,101,103,341,215,174,288,60,302,65,16594,482,4692,252,922,1553,10587,2,10682,48,127
"Donley County, Texas: Summary level: 050, state:48> county:129",174,100,50,10,110,102,2,49,43,394,112,103,162,464,352,233,199,163,3563,3313,203,27,15,2,3,42.9,2400,14,0,0,0,8,21,0,31,12,19,76,48,53,72,42,18776,57,1468,81,272,236,3540,9,3588,48,129
"Duval County, Texas: Summary level: 050, state:48> county:131",977,235,268,56,543,204,7,125,115,959,245,218,384,785,1058,951,995,547,11550,9923,99,64,43,0,1421,37.3,7461,145,0,0,14,78,70,123,193,154,87,195,383,318,441,157,18233,530,4866,468,1390,1262,11046,0,11577,48,131
"Eastland County, Texas: Summary level: 050, state:48> county:133",472,434,686,99,1144,262,63,369,354,1852,419,321,328,2091,1403,1421,816,1072,18023,17027,520,40,66,0,370,42.9,12239,222,0,0,10,3,22,33,156,105,106,159,270,475,334,219,19781,315,7118,505,1382,1981,18060,43,18328,48,133
"Ector County, Texas: Summary level: 050, state:48> county:135",9653,6590,5357,2695,8077,4076,707,3259,4544,12069,6668,4638,1797,16481,10809,18148,12231,12461,144967,127624,6352,730,1252,12,8997,30.7,88691,1997,5,6,203,375,865,501,1050,2879,830,1143,3580,3261,3923,2326,27149,3880,74010,8415,14097,13015,148173,228,149557,48,135
"Edwards County, Texas: Summary level: 050, state:48> county:137",127,133,5,11,31,57,43,87,59,242,46,55,16,207,191,245,201,68,1906,1860,3,1,0,0,42,49.5,1367,36,0,0,9,36,11,31,0,38,2,48,13,22,34,5,23373,47,959,51,128,150,1894,0,1906,48,137
"Ellis County, Texas: Summary level: 050, state:48> county:139",1397,5578,10328,2531,8855,5365,1642,5221,7043,14434,4767,4408,3134,23659,10801,20247,8143,11853,152670,127684,14518,1657,957,39,7815,35.7,99361,1369,0,59,40,281,386,156,419,2087,750,1273,2011,2139,2539,1772,29587,5178,79881,5313,11055,11648,155792,228,157058,48,139
"El Paso County, Texas: Summary level: 050, state:48> county:141",3743,19908,23900,9403,38997,21535,5649,17179,32422,82631,32449,14958,24970,97126,69417,87542,31628,42031,813205,688335,29361,5185,9132,1376,79816,31.6,495453,16488,151,165,884,2556,5629,3212,4988,27965,3745,8519,14520,10400,10225,10896,20401,30031,357775,27188,82478,90683,804897,3461,831095,48,141
"Erath County, Texas: Summary level: 050, state:48> county:143",1870,1174,2700,353,2339,616,95,648,1568,4367,1879,1057,609,5769,3747,4177,2498,3084,39232,36382,585,233,271,0,1761,30.3,22713,220,0,0,83,14,227,101,113,593,115,275,545,365,676,220,20983,834,20109,1544,4099,2863,39547,39,40039,48,143
"Falls County, Texas: Summary level: 050, state:48> county:145",429,607,718,118,676,327,39,290,288,1634,314,204,424,1590,1257,1381,891,949,17086,12293,4313,20,42,9,409,39.8,11943,298,0,0,5,0,36,42,36,318,106,305,431,434,580,245,19614,471,6539,514,1348,1337,15532,7,17410,48,145
"Fannin County, Texas: Summary level: 050, state:48> county:147",521,976,2000,352,1717,725,137,787,762,3060,648,593,981,4170,2202,2997,1716,2174,32816,29600,2296,100,186,18,616,41.3,23530,249,11,3,25,26,59,33,81,352,120,378,666,891,846,390,22105,948,14207,807,1694,2904,30827,28,33748,48,147
"Fayette County, Texas: Summary level: 050, state:48> county:149",1067,1073,1516,478,1396,872,84,540,579,2020,980,589,475,2653,2012,3017,1993,1994,24689,22373,1797,3,28,8,480,47.6,17857,376,0,0,32,0,25,28,177,398,205,498,515,485,524,364,25496,217,11886,924,1090,1832,24428,27,24849,48,149
"Fisher County, Texas: Summary level: 050, state:48> county:151",288,111,165,6,172,131,25,57,93,426,75,140,78,510,350,396,311,200,3795,3452,136,5,18,8,176,41.9,2670,65,0,0,0,0,12,14,12,64,17,64,53,68,39,44,26278,138,1905,138,298,341,3834,3,3858,48,151
"Floyd County, Texas: Summary level: 050, state:48> county:153",548,181,124,36,259,223,10,102,116,647,84,105,165,764,411,479,596,350,5996,5658,181,5,5,0,147,37.3,3963,109,0,0,0,11,96,89,54,75,64,90,159,131,114,45,23019,225,2825,172,577,605,6129,15,6178,48,153
"Foard County, Texas: Summary level: 050, state:48> county:155",74,36,10,8,73,28,5,13,18,102,24,18,37,142,60,158,52,34,1197,1085,35,0,11,0,66,49.1,904,2,0,0,0,0,28,0,2,6,4,6,11,35,80,9,21368,48,494,31,4,102,1164,0,1197,48,155
"Fort Bend County, Texas: Summary level: 050, state:48> county:157",17326,18647,28469,11986,34949,14967,4878,22004,42914,75751,19641,13325,9677,154989,39141,74222,20390,25792,641299,345668,137227,1501,121050,200,35653,35.5,416757,6746,176,102,200,665,1633,1080,1591,5073,2036,3229,5922,5641,5990,6295,38113,17068,331602,16057,35800,42729,653193,2494,658331,48,157
"Franklin County, Texas: Summary level: 050, state:48> county:159",329,414,484,55,615,337,5,218,303,924,295,123,207,1097,838,988,628,758,10317,9459,536,54,4,12,252,43.5,7259,28,0,0,21,29,24,0,8,155,105,97,130,136,217,126,21728,304,4613,277,491,1129,10485,4,10599,48,159
"Freestone County, Texas: Summary level: 050, state:48> county:161",936,643,575,121,526,674,64,375,467,1763,676,418,630,2052,1853,1560,1289,1114,19298,15629,3174,182,54,0,259,41.4,13640,206,0,4,0,0,23,18,20,127,70,229,511,450,495,328,23659,407,8275,667,1262,1669,18067,24,19586,48,161
"Frio County, Texas: Summary level: 050, state:48> county:163",988,563,394,131,822,474,0,253,254,1323,556,198,662,1224,1805,1337,1238,1014,18028,13312,760,11,81,0,3864,31.5,10961,453,0,0,32,113,283,74,208,288,245,279,683,349,449,317,16242,363,6981,481,1616,1470,15055,17,18168,48,163
"Gaines County, Texas: Summary level: 050, state:48> county:165",1765,1094,295,156,618,782,55,107,313,1492,462,585,144,1913,941,1530,2120,1364,18697,17295,349,80,95,59,819,28.9,10685,458,0,0,0,55,187,150,290,823,226,574,299,453,383,309,26123,326,8194,2237,1875,2265,18808,0,18916,48,165
"Galveston County, Texas: Summary level: 050, state:48> county:167",2894,11502,15187,3564,14072,7861,1667,8333,15546,35944,13200,6935,6976,57043,24419,32737,14800,14682,299981,240126,41017,1107,10200,73,7458,37.5,203891,2531,38,55,176,107,740,349,677,2092,1102,2232,3526,3621,4882,3307,30294,11588,155269,6159,19361,23317,303734,221,308163,48,167
"Garza County, Texas: Summary level: 050, state:48> county:169",289,170,165,99,126,55,23,52,305,268,133,135,198,484,441,451,321,321,6218,5445,318,48,4,10,393,39.4,4877,146,0,3,26,28,62,37,48,481,201,258,291,215,145,26,23624,41,2059,156,282,488,4154,15,6410,48,169
"Gillespie County, Texas: Summary level: 050, state:48> county:171",499,1198,672,337,1429,587,185,438,1054,2439,1487,652,253,3972,2367,2276,1503,1112,24767,24070,86,88,49,0,474,50.6,18728,225,0,0,23,74,199,70,90,299,132,222,156,353,339,304,26196,819,12049,491,1538,2258,25005,30,25398,48,171
"Glasscock County, Texas: Summary level: 050, state:48> county:173",226,91,3,13,19,39,0,3,15,62,6,7,15,220,25,96,136,22,1180,1066,0,0,0,0,114,38.8,786,15,0,0,0,0,24,0,0,38,4,11,20,8,28,15,,13,512,42,24,152,1180,0,1180,48,173
"Goliad County, Texas: Summary level: 050, state:48> county:175",408,135,365,60,280,136,77,62,154,741,183,138,223,873,496,615,408,570,7331,5350,416,0,5,10,1550,45.8,5198,87,0,0,0,0,16,18,14,36,33,67,100,96,84,47,24057,304,3266,82,322,440,7293,3,7410,48,175
"Gonzales County, Texas: Summary level: 050, state:48> county:177",1163,661,1296,370,974,403,123,320,481,1564,407,344,316,1892,1508,1961,1473,1588,19615,11381,1352,59,19,0,6804,38.1,12918,540,0,0,142,30,209,76,116,643,173,182,651,421,232,187,21594,585,9007,918,1768,2222,19883,45,20172,48,177
"Gray County, Texas: Summary level: 050, state:48> county:179",1620,778,815,232,1107,587,146,377,427,1578,777,569,431,2273,1470,2321,1788,1592,22321,19728,1093,294,101,29,1076,37.0,15366,198,0,0,23,74,94,56,57,295,70,285,424,378,735,310,25049,539,9983,880,1729,1777,21337,11,22983,48,179
"Grayson County, Texas: Summary level: 050, state:48> county:181",1374,4406,6968,1410,6733,2109,731,3808,4479,12616,5048,2590,2563,17197,9992,13639,6165,7842,119362,106650,7325,1583,1335,91,2378,40.2,82272,706,2,0,28,71,232,216,183,850,389,1118,1738,1665,2003,1396,25096,4637,59472,3108,8555,10204,121443,232,122780,48,181
"Gregg County, Texas: Summary level: 050, state:48> county:183",3502,3506,7092,1807,7603,2437,631,3056,4105,11910,4960,3260,1533,15333,9211,14529,6715,9614,121003,91980,24814,523,1738,217,1731,35.4,78906,1020,8,0,160,71,255,159,226,1698,259,904,1822,2061,2667,1227,23173,3472,58874,3269,10209,10570,121269,94,123178,48,183
"Grimes County, Texas: Summary level: 050, state:48> county:185",1080,852,1255,174,1252,651,47,418,893,1539,824,433,533,2457,1783,2074,1721,1916,26207,20136,4304,331,22,0,1414,40.7,18676,263,0,0,0,57,94,116,169,557,175,376,469,658,641,472,23520,658,10609,871,1451,2406,23710,128,26961,48,185
"Guadalupe County, Texas: Summary level: 050, state:48> county:187",1471,4111,7411,2002,9692,2927,1182,3957,5006,14038,5650,3917,5458,22962,10734,16731,6665,9730,139144,112850,10305,558,2366,14,13051,36.6,92461,1075,29,0,60,353,251,224,194,1189,466,945,1846,1582,2049,1395,30038,4040,70862,3554,8063,9320,141235,258,143460,48,187
"Hale County, Texas: Summary level: 050, state:48> county:189",1278,1072,1567,348,1779,796,99,547,686,3265,1083,915,830,3498,2931,2982,2365,2489,33558,29843,1742,245,151,2,1575,32.5,21328,637,0,10,41,119,297,89,218,768,380,571,821,734,872,339,21435,1249,15514,1207,2758,3228,33432,13,35504,48,189
"Hall County, Texas: Summary level: 050, state:48> county:191",185,140,26,44,181,91,7,42,35,300,64,43,56,250,290,266,314,94,3066,2616,239,1,10,0,200,44.7,2095,69,0,0,14,20,8,0,49,64,48,62,45,59,65,53,13990,158,1372,135,257,418,3145,0,3203,48,191
"Hamilton County, Texas: Summary level: 050, state:48> county:193",406,260,244,109,373,137,22,105,160,898,230,185,150,930,702,696,624,327,8200,8015,84,32,20,2,47,48.6,5979,108,0,0,0,14,2,8,2,17,29,291,204,127,308,45,22391,205,3484,55,489,711,8032,14,8266,48,193
"Hansford County, Texas: Summary level: 050, state:48> county:195",607,146,117,90,255,138,12,111,182,629,124,97,121,759,358,472,545,495,5470,5245,7,21,20,0,177,36.4,3465,14,0,0,0,6,18,17,27,285,45,97,107,100,89,51,25465,63,2692,84,416,418,5489,49,5559,48,195
"Hardeman County, Texas: Summary level: 050, state:48> county:197",313,67,167,26,106,93,10,90,60,434,127,90,88,512,337,252,313,257,3915,3401,355,0,9,0,150,42.3,2861,51,0,0,0,7,27,0,73,9,13,49,61,121,112,67,18711,104,1775,116,244,371,3980,5,3992,48,197
"Hardin County, Texas: Summary level: 050, state:48> county:199",837,2792,3313,709,2897,1442,289,1096,1347,5068,1626,1320,1197,7717,3161,5620,3789,3646,54817,50446,3216,188,351,10,606,38.9,37025,428,0,0,4,0,16,101,52,233,236,389,800,813,1406,589,27036,1403,25336,1711,3523,4587,54935,28,55375,48,199
"Harris County, Texas: Summary level: 050, state:48> county:201",68547,195992,216662,77931,226377,129459,27446,120954,271028,392293,179073,122370,53757,721575,362173,489776,239282,269083,4260905,2749811,821686,19522,286331,3060,380495,32.8,2734398,65998,642,740,4102,12003,22328,14626,21524,98162,25793,39767,84775,50600,64071,53036,27581,168689,2250578,155786,418470,432403,4335831,13592,4356362,48,201
"Harrison County, Texas: Summary level: 050, state:48> county:203",2170,2061,3767,829,3151,1741,227,1445,1650,7010,1970,1609,1020,9192,4295,6412,4015,4736,65251,48436,14389,235,349,0,1842,37.5,43561,756,0,0,21,0,79,44,75,585,271,494,974,1211,1493,1040,24230,2390,31040,2438,4563,5214,65766,46,66417,48,203
"Hartley County, Texas: Summary level: 050, state:48> county:205",452,124,96,64,182,154,26,142,141,530,156,112,111,883,352,481,406,168,5929,5121,516,3,8,0,281,39.3,4529,25,0,0,0,25,7,0,7,86,47,114,195,150,204,56,30320,50,2340,138,257,286,4624,0,6121,48,205
"Haskell County, Texas: Summary level: 050, state:48> county:207",400,104,89,38,225,175,4,84,77,550,141,166,174,685,542,361,342,297,5688,5166,191,20,57,0,254,43.4,4393,127,0,2,0,17,69,27,32,91,132,111,131,180,231,88,20439,166,2393,77,207,559,5021,0,5853,48,207
"Hays County, Texas: Summary level: 050, state:48> county:209",833,7263,5903,2354,12565,3440,1859,4973,9135,20285,9534,3925,5164,32219,15350,24059,8243,7362,172663,150565,6265,704,2508,226,12395,30.9,103614,1396,0,10,20,310,227,420,304,1287,306,815,1452,1805,1302,1790,26302,6219,93452,3645,13255,10278,175818,16,177562,48,209
"Hemphill County, Texas: Summary level: 050, state:48> county:211",457,95,65,19,243,113,44,150,145,266,86,70,59,523,301,458,347,183,4013,3581,43,19,13,0,357,34.4,2547,56,0,0,0,0,0,2,1,74,9,56,79,95,52,25,28542,69,1881,334,239,402,4063,0,4115,48,211
"Henderson County, Texas: Summary level: 050, state:48> county:213",1485,3061,3202,658,3758,1238,482,1391,2881,6517,2645,1762,1361,8165,5909,7408,4496,4463,77881,70570,5376,491,468,61,915,43.4,54979,917,4,5,82,135,76,324,412,642,321,1030,1474,1674,1961,878,21608,2558,32999,2127,5588,8655,78125,159,79016,48,213
"Hidalgo County, Texas: Summary level: 050, state:48> county:215",9982,25145,13046,9853,42695,15255,3555,11666,24682,87280,23891,17821,13159,77286,70559,77719,39118,33348,812580,748844,5080,2459,8535,109,47553,28.8,451492,19139,48,206,2133,5936,11808,6406,8769,31961,7027,13913,28994,11982,12943,9909,16458,32671,330701,44864,110933,121371,811347,4493,819217,48,215
"Hill County, Texas: Summary level: 050, state:48> county:217",783,1527,1571,334,1847,807,162,730,764,3055,1291,688,712,3713,2583,3550,2139,2286,34575,31243,2523,195,148,0,466,42.4,23723,352,19,17,6,52,186,54,65,477,278,506,849,682,1005,334,20949,1389,15660,1047,2597,3440,34256,87,34923,48,217
"Hockley County, Texas: Summary level: 050, state:48> county:219",1876,811,395,285,1129,490,231,462,533,2655,811,718,333,2803,1936,2492,1885,1613,22693,19730,821,252,84,6,1800,32.8,14184,327,10,13,46,76,79,111,83,216,142,331,451,483,560,227,23665,737,11466,1107,2054,1940,23173,1,23322,48,219
"Hood County, Texas: Summary level: 050, state:48> county:221",1350,2157,1653,526,3237,1588,403,1159,2186,4667,1296,1126,860,7674,3340,5447,3182,2565,52658,49800,435,433,333,0,1657,46.9,38287,266,20,0,17,24,153,120,110,343,214,488,617,845,716,495,27870,1172,23380,1693,2979,4087,52422,12,53171,48,221
"Hopkins County, Texas: Summary level: 050, state:48> county:223",1049,1080,1738,778,2007,946,161,826,921,3350,1130,690,559,4366,2762,3560,1724,2823,35003,30282,2436,139,253,14,1879,39.2,23710,405,0,0,110,78,67,13,60,618,98,417,514,469,905,440,22703,1157,16392,1378,2827,3582,35207,12,35645,48,223
"Houston County, Texas: Summary level: 050, state:48> county:225",579,656,594,142,1038,518,25,415,270,1858,439,441,719,1887,1699,1885,1029,1194,22487,15459,5865,22,34,0,1107,44.5,16706,257,3,0,9,19,32,42,26,168,180,295,435,567,638,254,19396,526,8220,221,989,2273,19766,10,22949,48,225
"Howard County, Texas: Summary level: 050, state:48> county:227",1924,1030,781,309,1404,702,158,598,594,3647,996,830,951,3950,2814,3002,1997,2161,35136,30188,2109,436,337,139,1927,36.9,24225,405,3,12,10,118,57,58,135,459,194,705,883,986,986,309,24093,957,14881,1006,2123,2424,30882,0,36105,48,227
"Hudspeth County, Texas: Summary level: 050, state:48> county:229",165,105,19,13,86,47,33,29,79,205,149,20,191,274,347,178,202,140,3268,3020,42,0,26,0,180,39.6,2238,37,0,28,23,0,116,52,30,264,19,58,183,89,135,56,15657,69,1210,125,185,426,2959,10,3330,48,229
"Hunt County, Texas: Summary level: 050, state:48> county:231",599,2960,5479,859,4430,2239,511,1656,2906,7899,2539,2129,1392,10879,6205,8459,4622,5433,86158,69296,7438,571,1038,0,7815,38.0,57974,612,5,0,5,6,129,83,119,887,558,973,1698,1771,1707,1053,21863,4590,40188,2677,6184,7969,87220,53,88052,48,231
"Hutchinson County, Texas: Summary level: 050, state:48> county:233",813,1148,1331,174,1078,453,90,320,599,1602,784,405,550,2200,1726,2079,1816,1526,21233,19459,596,257,134,16,771,37.3,14262,133,0,0,13,0,55,27,103,220,38,167,417,283,525,276,25329,519,9866,622,1610,1646,21700,28,21858,48,233
"Irion County, Texas: Summary level: 050, state:48> county:235",202,65,25,26,64,42,1,23,42,194,16,45,60,296,99,160,111,139,1584,1481,0,0,0,0,103,44.9,1126,20,0,0,0,0,8,9,4,0,4,8,23,23,25,2,30317,37,842,72,63,157,1642,4,1644,48,235
"Jack County, Texas: Summary level: 050, state:48> county:237",942,349,152,94,317,217,18,111,142,485,177,157,187,811,488,670,754,625,8893,8274,459,29,4,0,127,40.5,6134,141,0,0,0,0,40,0,55,92,81,145,150,254,210,85,22774,197,3545,314,539,699,7733,9,8946,48,237
"Jackson County, Texas: Summary level: 050, state:48> county:239",954,589,1273,53,436,426,26,277,268,1131,404,241,173,1652,948,1172,1248,1231,14185,12760,1049,16,30,7,323,39.0,9621,228,5,9,5,19,82,11,26,139,93,238,245,316,328,98,26253,344,6595,461,726,858,14249,17,14486,48,239
"Jasper County, Texas: Summary level: 050, state:48> county:241",769,1674,1275,172,1701,548,52,549,700,2919,773,555,660,2985,2273,3007,2140,1942,35161,28368,5822,143,131,0,697,40.6,23939,295,0,0,11,0,102,57,129,183,132,342,665,795,789,300,22171,1589,13936,718,2700,3362,34866,51,35768,48,241
"Jeff Davis County, Texas: Summary level: 050, state:48> county:243",205,95,5,9,65,4,13,48,77,285,128,76,64,355,228,184,240,67,2228,2028,7,29,24,0,140,53.1,1778,59,0,0,0,0,0,28,32,42,14,26,33,48,43,17,26373,82,1156,50,112,326,2169,28,2232,48,243
"Jefferson County, Texas: Summary level: 050, state:48> county:245",1801,10606,13361,2653,12495,4718,1231,4234,9249,23160,9252,5531,4912,28887,20042,24959,13254,16061,248277,147009,84994,878,8824,109,6463,35.9,166637,2418,18,59,121,393,740,566,952,2987,1014,2753,4235,4252,5887,1862,23611,9983,113186,6658,22797,23034,239027,450,252872,48,245
"Jim Hogg County, Texas: Summary level: 050, state:48> county:247",363,249,90,15,88,39,31,49,38,473,66,56,229,442,352,273,343,376,5188,4960,66,2,0,0,160,36.7,3380,137,0,0,5,35,74,17,40,25,45,80,59,130,282,36,16615,353,2139,284,552,500,5216,0,5239,48,247
"Jim Wells County, Texas: Summary level: 050, state:48> county:249",3552,923,713,446,1290,816,68,616,964,3906,1290,1277,813,4700,3425,3477,3043,2029,41124,38922,240,150,150,60,1602,34.6,25677,680,0,0,4,116,335,196,278,605,364,678,1416,1208,1020,516,19725,1185,17859,1413,3618,4208,41061,51,41461,48,249
"Johnson County, Texas: Summary level: 050, state:48> county:251",2906,5563,9130,2071,8696,5469,876,3393,4869,14618,4581,3598,3180,21359,9972,16614,8937,12068,152121,142918,4003,963,1274,560,2403,36.7,100643,1292,42,17,143,134,535,140,411,1271,846,1833,2524,2933,3268,1491,29041,5436,74386,6542,11534,13668,152853,204,155450,48,251
"Jones County, Texas: Summary level: 050, state:48> county:253",578,332,175,80,519,486,4,325,277,1264,164,372,427,1415,1019,1227,736,606,19383,14476,3070,176,77,0,1584,39.2,14517,124,0,0,0,28,107,68,114,68,141,385,580,898,1176,93,,219,5222,517,661,1193,12532,0,19978,48,253
"Karnes County, Texas: Summary level: 050, state:48> county:255",866,380,282,87,658,359,26,170,195,1106,201,290,631,1435,967,1189,1005,655,14634,9462,1340,14,32,0,3786,35.5,10186,234,0,0,29,24,66,39,50,235,132,343,546,455,396,125,22494,266,5517,250,897,675,12189,0,14879,48,255
"Kaufman County, Texas: Summary level: 050, state:48> county:257",609,3951,5008,1855,5936,3468,688,3242,4663,11492,3609,2310,2528,16307,7828,13167,5318,6739,106099,90444,10412,626,896,299,3422,35.8,69926,1137,0,0,17,70,219,343,319,902,482,1079,1752,1660,2127,1351,28196,4731,54090,3834,7519,9553,108297,127,109289,48,257
"Kendall County, Texas: Summary level: 050, state:48> county:259",378,1004,1201,457,1761,806,225,1469,2192,3565,1648,999,892,7756,2614,3850,1441,936,36203,34518,331,124,245,13,972,43.6,25551,268,0,0,28,11,90,0,90,337,133,97,533,215,249,297,29437,781,17378,828,1682,1870,36902,35,37361,48,259
"Kenedy County, Texas: Summary level: 050, state:48> county:261",75,0,8,0,5,13,0,10,6,28,0,2,38,46,63,38,38,0,565,554,0,0,1,0,10,29.4,332,0,0,0,8,0,0,7,7,12,0,9,15,40,9,0,,0,185,42,84,49,565,0,565,48,261
"Kent County, Texas: Summary level: 050, state:48> county:263",82,30,2,10,32,23,0,22,7,122,4,17,47,158,65,67,71,37,818,759,3,9,0,0,47,49.1,616,25,0,0,0,3,4,0,0,2,0,14,27,5,35,16,26724,6,404,16,35,53,771,0,821,48,263
"Kerr County, Texas: Summary level: 050, state:48> county:265",824,1924,929,365,2491,583,337,1232,1593,5408,2561,1469,807,6493,4604,5398,2463,1565,49301,46353,820,364,428,28,1308,47.9,36128,410,0,0,0,10,106,96,209,319,242,451,605,779,745,519,22588,1794,22317,1111,3593,4397,49209,89,50149,48,265
"Kimble County, Texas: Summary level: 050, state:48> county:267",209,178,217,58,249,120,46,81,88,399,199,170,115,628,363,564,347,227,4451,4222,1,10,0,5,213,52.8,3470,50,0,0,0,0,9,0,30,55,24,58,27,135,109,90,22144,176,2305,155,258,652,4427,25,4486,48,267
"King County, Texas: Summary level: 050, state:48> county:269",84,13,4,1,3,2,2,8,11,23,2,2,11,57,17,23,65,4,267,259,0,0,0,0,8,46.2,220,6,0,0,0,0,4,6,7,6,0,3,9,0,2,1,29417,9,175,0,34,26,267,0,267,48,269
"Kinney County, Texas: Summary level: 050, state:48> county:271",103,157,5,0,61,131,11,30,27,279,56,43,310,364,443,141,249,16,3570,3504,43,19,0,0,4,44.9,2613,49,0,0,11,20,17,14,6,156,71,201,109,129,85,9,19709,185,1398,87,240,472,3223,0,3577,48,271
"Kleberg County, Texas: Summary level: 050, state:48> county:273",1580,884,669,83,1427,445,87,501,600,4167,1605,694,724,4114,3146,2546,2333,1327,31543,27467,1298,158,647,0,1973,28.0,17767,413,0,15,24,55,161,141,219,582,370,644,431,516,517,425,16703,1790,15256,880,3274,2705,31362,77,32029,48,273
"Knox County, Texas: Summary level: 050, state:48> county:275",429,73,41,8,202,70,0,72,28,384,23,66,138,407,259,298,438,132,3778,3301,280,23,3,1,170,40.9,2552,56,0,0,0,14,33,18,10,47,43,23,71,66,79,19,21324,117,1651,86,238,386,3667,0,3796,48,275
"Lamar County, Texas: Summary level: 050, state:48> county:277",629,1627,3260,295,3016,979,162,691,877,5839,1611,1060,907,5781,3932,5310,2453,3477,47436,40138,6199,149,409,123,418,40.3,33228,414,0,0,0,44,39,70,145,205,397,542,782,730,1199,397,21928,1670,22623,1352,3546,4386,48900,132,49566,48,277
"Lamb County, Texas: Summary level: 050, state:48> county:279",1205,286,510,143,577,496,73,210,326,1124,324,183,252,1687,878,1106,1124,914,13479,11984,802,46,21,0,626,36.1,8607,210,0,28,13,50,138,39,86,213,95,284,294,385,296,119,21301,375,6084,479,1229,1325,13540,15,13742,48,279
