,C24050_002E,C24050_003E,C24050_004E,C24050_005E,C24050_006E,C24050_007E,C24050_008E,C24050_009E,C24050_010E,C24050_011E,C24050_012E,C24050_013E,C24050_014E,C24050_015E,C24050_029E,C24050_043E,C24050_057E,C24050_071E,C02003_002E,C02003_003E,C02003_004E,C02003_005E,C02003_006E,C02003_007E,C02003_008E,B01002_001E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B19326_001E,B23025_005E,B23025_003E,B27010_017E,B27010_033E,B27010_050E,B27010_001E,B27010_066E,B01003_001E,state_fip,county_fip
"Jersey County, Illinois: Summary level: 050, state:17> county:083",245,596,1329,192,1664,607,115,693,619,2948,856,388,335,3334,1934,2740,1022,1557,22318,22004,96,9,169,18,22,42.3,15521,78,0,0,0,0,0,13,0,46,24,234,268,264,269,210,26875,918,11505,136,675,1196,22281,4,22625,17,083
"Jo Daviess County, Illinois: Summary level: 050, state:17> county:085",500,769,1501,255,1334,908,198,686,619,2057,1121,670,373,2926,2033,2769,1395,1868,22116,21880,60,43,89,8,36,48.2,16422,121,0,4,0,1,0,0,29,0,30,212,64,290,322,195,27574,646,11637,96,668,747,22245,19,22397,17,085
"Johnson County, Illinois: Summary level: 050, state:17> county:087",98,377,308,68,426,234,27,238,214,1380,405,123,346,1297,913,1017,528,489,12584,11392,1137,13,29,0,13,43.2,9346,118,0,6,0,4,7,15,5,19,33,252,236,249,348,194,21123,487,4731,64,406,540,10939,0,12829,17,087
"Kane County, Illinois: Summary level: 050, state:17> county:089",1476,15581,42915,10763,28351,12530,5673,17187,33280,48347,21747,10693,6987,86172,42216,64500,19713,42929,513620,381618,29106,1877,19392,102,81525,35.9,334407,5270,65,76,181,658,2397,1099,1641,12283,2282,5102,8885,4543,5657,7880,30343,21010,276540,4253,26619,30685,521685,853,524886,17,089
"Kankakee County, Illinois: Summary level: 050, state:17> county:091",786,3050,7278,1649,5383,3197,514,2748,3008,13290,4733,2360,1819,15012,9115,11655,5162,8871,110111,90068,16863,278,1248,30,1624,37.3,73073,928,0,13,11,43,87,180,165,586,148,1112,998,1551,1868,1331,25448,5406,55221,801,4385,5323,109894,39,112221,17,091
"Kendall County, Illinois: Summary level: 050, state:17> county:093",563,3319,8240,2279,7076,4699,1021,5147,5891,13490,4049,2936,2560,24300,8036,16438,5262,7234,117588,100576,7831,188,3861,0,5132,33.8,75012,444,0,0,20,0,202,12,34,628,40,591,470,826,580,909,38514,3906,65176,744,2659,2737,119786,22,120036,17,093
"Knox County, Illinois: Summary level: 050, state:17> county:095",656,944,2457,694,3139,1658,298,1009,1045,6392,1348,1108,727,6452,4183,5061,1832,3947,51294,45351,4429,83,430,12,989,42.1,36351,288,20,3,0,0,44,17,70,85,152,589,626,1082,1083,590,22683,1708,23183,312,2055,2187,49374,12,52112,17,095
"Lake County, Illinois: Summary level: 050, state:17> county:097",856,16494,54669,14885,39821,11921,6492,26916,46588,65163,31016,14326,9812,142158,51931,86415,20244,38211,684512,565671,48875,1095,47681,334,20856,37.6,451898,5484,29,111,82,617,1184,1027,1544,8355,1542,5175,5890,5117,5371,6439,32636,29217,368176,5134,27631,34850,687664,1312,702898,17,097
"LaSalle County, Illinois: Summary level: 050, state:17> county:099",1860,3030,7191,1503,7685,3776,580,2242,3255,10878,4694,2840,1918,13596,10387,12108,5240,10121,110951,105932,2770,227,759,4,1259,41.6,78046,650,5,3,0,51,105,9,119,489,149,1143,929,1869,2078,1579,25298,5611,57063,971,4314,5001,109748,51,112579,17,099
"Lawrence County, Illinois: Summary level: 050, state:17> county:101",229,261,508,120,361,190,13,410,139,1268,262,261,175,1277,863,1005,324,728,16391,12651,3427,51,18,24,220,40.7,12313,171,0,0,0,9,23,20,14,95,52,279,400,437,681,637,22716,271,4468,279,144,606,11161,6,16665,17,101
