,skew_diff,FIPS,county,state,Population(2010),Total Areami²,Latitude,Longitude
1967,12.450000000000001,37069.0,FRANKLIN,NC,60619,494.498,36.08824,-78.28309
2770,12.444999999999999,48411.0,SAN SABA,TX,6131,1138.414,31.15513,-98.81929
1210,12.434999999999999,22109.0,TERREBONNE,LA,111860,2082.073,29.33326,-90.84419
440,12.425000000000002,13019.0,BERRIEN,GA,19286,457.883,31.2743,-83.2319
792,12.425,18105.0,MONROE,IN,137974,411.321,39.16075,-86.52332
1239,12.424999999999999,24009.0,CALVERT,MD,88737,345.071,38.52135,-76.52586
1436,12.41,27159.0,WADENA,MN,13843,543.233,46.58678,-94.98833
1536,12.405000000000001,29021.0,BUCHANAN,MO,89201,414.658,39.66037,-94.80817
432,12.405,13003.0,ATKINSON,GA,8375,344.534,31.30056,-82.88361
2635,12.39,48141.0,EL PASO,TX,800647,1014.960,31.7664,-106.24139
801,12.39,18123.0,PERRY,IN,19338,386.290,38.08143,-86.62654
750,12.385000000000002,18021.0,CLAY,IN,26890,360.322,39.39395,-87.11583
385,12.385000000000002,12045.0,GULF,FL,15863,755.561,29.90725,-85.25653
2278,12.385000000000002,41055.0,SHERMAN,OR,1765,831.186,45.39921,-120.67851
528,12.385,13197.0,MARION,GA,8742,367.480,32.35953,-84.52956
2109,12.38,39047.0,FAYETTE,OH,29030,407.015,39.55384,-83.45932
183,12.365,5057.0,HEMPSTEAD,AR,22609,741.177,33.72861,-93.6658
916,12.360000000000001,19169.0,STORY,IA,89542,573.649,42.03753,-93.46609
474,12.350000000000001,13089.0,DEKALB,GA,691893,271.142,33.77066,-84.22634
2778,12.35,48427.0,STARR,TX,60968,1229.087,26.54633,-98.7158
483,12.345,13107.0,EMANUEL,GA,22598,690.182,32.5911,-82.29976
2080,12.34,38095.0,TOWNER,ND,2246,1041.480,48.68218,-99.24815
2060,12.33,38055.0,MCLEAN,ND,8962,2328.017,47.65305,-101.42179
435,12.319999999999999,13009.0,BALDWIN,GA,45720,267.411,33.05953,-83.25536
763,12.319999999999999,18047.0,FRANKLIN,IN,23087,391.050,39.40976,-85.06696
1249,12.315000000000001,24029.0,KENT,MD,20197,413.445,39.23917,-76.1242
2390,12.315,45063.0,LEXINGTON,SC,262391,757.729,33.89255,-81.27285
2676,12.305,48223.0,HOPKINS,TX,35161,792.772,33.14895,-95.56519
242,12.305,6025.0,IMPERIAL,CA,174528,4481.719,33.04081,-115.35539
431,12.295,13001.0,APPLING,GA,18236,512.261,31.73971,-82.2901
1778,12.294999999999998,31163.0,SHERMAN,NE,3152,571.644,41.21874,-98.97284
2169,12.294999999999998,39167.0,WASHINGTON,OH,61778,639.997,39.45068,-81.49065
471,12.290000000000001,13083.0,DADE,GA,16633,174.160,34.85242,-85.5062
2110,12.29,39049.0,FRANKLIN,OH,1163414,543.508,39.96944,-83.00825
