,year,FIPS,office,state,dem_votes,rep_votes,county
0,2000,17109.0,PRESIDENT,IL,6080.0,6465.0,MCDONOUGH
0,2000,17111.0,PRESIDENT,IL,40698.0,62112.0,MCHENRY
0,2000,17113.0,PRESIDENT,IL,24936.0,34008.0,MCLEAN
0,2000,17115.0,PRESIDENT,IL,24262.0,23830.0,MACON
0,2000,17117.0,PRESIDENT,IL,11015.0,9749.0,MACOUPIN
0,2000,17119.0,PRESIDENT,IL,59077.0,48821.0,MADISON
0,2000,17121.0,PRESIDENT,IL,8068.0,8240.0,MARION
0,2000,17123.0,PRESIDENT,IL,2570.0,3145.0,MARSHALL
0,2000,17125.0,PRESIDENT,IL,3192.0,3411.0,MASON
0,2000,17127.0,PRESIDENT,IL,2912.0,3676.0,MASSAC
0,2000,17129.0,PRESIDENT,IL,2164.0,3862.0,MENARD
0,2000,17131.0,PRESIDENT,IL,4400.0,3688.0,MERCER
0,2000,17133.0,PRESIDENT,IL,5797.0,7632.0,MONROE
0,2000,17135.0,PRESIDENT,IL,6542.0,6226.0,MONTGOMERY
0,2000,17137.0,PRESIDENT,IL,5899.0,8058.0,MORGAN
0,2000,17139.0,PRESIDENT,IL,2529.0,3058.0,MOULTRIE
0,2000,17141.0,PRESIDENT,IL,7673.0,12325.0,OGLE
0,2000,17143.0,PRESIDENT,IL,38604.0,36398.0,PEORIA
0,2000,17145.0,PRESIDENT,IL,4862.0,4802.0,PERRY
0,2000,17147.0,PRESIDENT,IL,3488.0,4619.0,PIATT
0,2000,17149.0,PRESIDENT,IL,3198.0,4706.0,PIKE
0,2000,17151.0,PRESIDENT,IL,927.0,1346.0,POPE
0,2000,17153.0,PRESIDENT,IL,1518.0,1430.0,PULASKI
0,2000,17155.0,PRESIDENT,IL,1657.0,1437.0,PUTNAM
0,2000,17157.0,PRESIDENT,IL,6794.0,7127.0,RANDOLPH
0,2000,17159.0,PRESIDENT,IL,2491.0,4718.0,RICHLAND
0,2000,17161.0,PRESIDENT,IL,37957.0,25194.0,ROCK ISLAND
0,2000,17163.0,PRESIDENT,IL,55961.0,42299.0,ST. CLAIR
